step,run_0,run_1
2048,65.0978558883071,86.14302078336478
4096,17.122372803650798,18.7692329518497
6144,8.843389289639891,6.1098913223482665
8192,1.702206320478581,7.212907359749079
10240,0.4369181060639676,3.707036859355867
12288,0.8214542983041611,1.4252523846225813
14336,0.3884249151975382,0.2839943359780591
16384,0.443038284254726,0.20832225946360267
18432,0.2067705758265219,0.24825067145284266
20480,0.2702532268012874,0.18516286517551633
22528,0.440745230257744,0.2712794225604739
24576,0.1707135743461549,0.4676362937898375
26624,0.4626710112264846,0.3385224968602415
28672,0.4907504635688383,0.5784794657141902
30720,0.4643898775801062,0.4033966384478845
32768,0.3513310053560417,0.34095842212555
34816,0.4409096882620361,0.05657177658140426
36864,0.3154147561290301,1.2661759327631443
38912,0.8573277632938698,0.3788861930719577
40960,1.2987194455694406,0.6689706317614764
43008,1.2566459818976,2.293119063600898
45056,0.7479299893369898,1.8003735704813153
47104,0.8476286448538304,1.8050646075978876
49152,1.052698146062903,1.0529173406306653
51200,0.5307579123880715,1.4183381668990478
53248,1.3477008049027064,1.9403612175723537
55296,0.7018219684017822,1.2909387545776554
57344,1.7923061735229566,1.4974052352830767
59392,0.3716780251037562,0.6477074766531586
61440,3.309645477752201,0.4736829343484715
63488,1.934999126335606,1.1833529028575867
65536,1.072022196400212,1.081090915540699
67584,1.0518416951177645,1.7759400834329426
69632,2.06863993993029,0.8955734936287627
71680,7.504693627916277,0.5401026379782706
73728,4.921964636445045,0.6237619722553063
75776,3.830901169963181,1.2948422007495537
77824,2.997492848965339,1.9398397315526381
79872,2.3123174379579723,2.3683144639013336
81920,3.113322112802416,2.569883664092049
83968,3.514319746987894,1.5095609015785159
86016,4.41008725722786,1.4574381423182785
88064,3.059117814525962,3.5492330124136062
90112,1.009331402136013,4.383373522572219
92160,3.1112094207201157,3.9490853135939687
94208,2.769103207322769,3.930280333571136
96256,3.85660949992016,5.995722331479191
98304,4.119186194287613,3.020571016240865
100352,3.902318575978279,3.1985532050952314
102400,6.3339837356470525,3.2248269686475397
104448,4.884646700276062,1.6588137907441705
106496,0.6424431097810157,0.8529966427944601
108544,1.836173122434411,3.150320885889232
110592,2.5834120713174342,3.889361748751253
112640,1.7631094469456,2.6286006351932882
114688,3.304217352857813,2.5441588403191417
116736,5.004133885912597,1.668809581757523
118784,5.350679163075983,1.9197907579131424
120832,10.792050228267907,1.6816037238109858
122880,6.418490250967443,2.6284992860164493
124928,6.406339695490897,1.416438143630512
126976,7.242906335182488,2.532832613028586
129024,4.837226989632472,3.051596927829087
131072,4.474313444877043,0.453472509898711
133120,4.571450627176091,4.1155808311887085
