step,run_0
10000,-99.4424648216961
20000,-203.17224286889288
30000,-94.9069014484623
40000,-64.4368706333386
50000,-68.5714233660025
60000,-31.758892969221353
70000,-55.124361546591615
80000,-52.100656471052986
90000,-43.19159692508785
100000,-41.223736371439195
110000,-50.82723798473919
120000,-53.01687560858222
130000,-48.46673723514023
140000,-41.28912044661167
150000,-27.75179719151542
160000,-28.9229262251148
170000,-11.5258314099109
180000,-28.37879289822422
190000,-49.09646456815757
200000,-45.85354024369089
210000,-10.965139249615355
220000,-30.11122129620365
230000,-29.12714510687384
240000,-10.041825825946766
250000,-45.81220827347258
260000,-40.88092923653252
270000,-27.962422216648005
280000,-28.419528642222094
290000,-8.790896489410406
300000,-48.62258308522396
310000,-8.933752734932549
320000,-40.82982498258846
330000,-44.80990285501555
340000,-46.31725336577615
350000,-27.1507259447947
360000,-26.786790831003238
370000,-10.173632418784164
380000,-28.13607626862887
390000,-8.993363938614094
400000,-44.231090857325945
410000,-8.344405740891766
420000,-48.00279297846391
430000,-8.827523770456626
440000,-9.787360308946655
450000,-28.22318431100656
460000,-40.82455573030529
470000,-27.148110548017335
480000,-40.78411400818802
490000,-27.127500323936534
500000,-8.689672732102656
510000,-27.35639313816078
520000,-40.7776411270788
530000,-40.76202426954127
540000,-45.54365295273995
550000,-9.001388834750049
560000,-8.90663985754936
570000,-8.609778710616
580000,-8.66310102463242
590000,-26.833394388063084
600000,-26.844387640458443
610000,-8.8468275915757
620000,-27.360807208527316
630000,-8.503330524535437
640000,-8.244302377897158
650000,-26.462684777689294
660000,-8.221292505061294
670000,-40.75897898880592
680000,-27.457202984237835
690000,-26.79610714923464
700000,-7.9658910868590045
710000,-8.52038749796183
720000,-7.841754370217553
730000,-26.259504231031322
740000,-27.25137535561325
750000,-45.050807015456115
760000,-44.47062739720441
770000,-8.454545087107324
780000,-26.55015446585961
790000,-7.598134589215308
800000,-40.75126177048393
810000,-40.75211674978813
820000,-89.11810501317598
830000,-40.751463672149924
840000,-26.48695494444752
850000,-27.871421405639236
860000,-26.772067311489714
870000,-7.624492508336426
880000,-8.847722691065215
890000,-25.579677549055308
900000,-44.62672388893186
910000,-7.643061742042165
920000,-27.482059447040605
930000,-26.563394283625673
940000,-9.15450904956139
950000,-45.159503662989366
960000,-26.524448277646457
970000,-7.643472488260578
980000,-8.086960838089002
990000,-27.29947871165731
