episode,run_0,run_1,run_2
0,-127.7244796148394,-131.58675026113525,-127.16920259656595
1,-144.89874078207407,-143.06925054231306,-116.31726301307229
2,-185.0284064332445,-113.11162807125454,-121.24763404610226
3,-206.7129397201311,-210.7832917200027,-140.96236967968372
4,-121.91101585327868,-128.77292888889835,-211.71901426158385
5,-170.25827390206024,-129.35951643077183,-188.42533522300488
6,-150.75590353643244,-221.42720115771527,-145.53307196897288
7,-121.60437566825432,-173.82273627857853,-152.79541384879775
8,-121.49178592028292,-144.1140520671563,-119.18508704790705
9,-149.71310328779174,-159.79721234076047,-161.93877940279117
10,-183.3204812061727,-126.69638813715292,-143.1532673355078
11,-144.5444600284107,-123.36429908380732,-120.42631884064707
12,-179.08942535703417,-212.4065455829359,-174.99677440772538
13,-123.30850902124844,-124.61319102903715,-176.77755267550623
14,-156.21949638740028,-220.14191065917197,-209.75392500415094
15,-173.20415832897325,-170.19111272945344,-159.63733179470267
16,-184.1743716689084,-160.60999243451957,-142.4276527277585
17,-152.67109929034385,-133.94173081305615,-189.9825680936474
18,-141.0001324655077,-123.14492030912513,-165.8196621855734
19,-169.24397925844627,-144.15014164318632,-142.48409913451837
20,-135.23570184612112,-143.51151313183735,-162.7690541792305
21,-155.398233292145,-130.5619999028968,-154.25250156242822
22,-317.92122575483245,-115.07158792931504,-131.66192279452574
23,-170.09530083573998,-160.44212347405755,-197.3705754767862
24,-125.56045974700336,-185.7576776383445,-140.05615923425086
25,-200.58276235123964,-207.4393566234297,-178.42998392900992
26,-139.1632464003382,-154.90635872878664,-137.20359160809875
27,-234.36105448712857,-185.560548434328,-119.19847952387977
28,-124.89832402192432,-182.350091900075,-168.61005992166298
29,-119.35169782824124,-145.1772501808275,-115.49881945528412
30,-173.4980079874207,-151.0665710792514,-129.52960878060804
31,-149.3058786945758,-171.8681320543298,-220.48902143860576
32,-154.23181204081956,-152.31279754185954,-131.6537699304378
33,-139.58473699995773,-138.32788966709825,-140.14696932800936
34,-131.24882790467422,-142.59702983688268,-164.22278339548274
35,-151.13236224196953,-131.1258877504591,-138.68516637617307
36,-162.66168016102642,-172.54408011383035,-144.49119227123978
37,-153.86328364217127,-136.55152941400246,-165.8453980749797
38,-142.15334409537212,-184.14041136353265,-130.07392701733383
39,-142.85864826871358,-136.74043954225942,-136.8474544378129
40,-168.8675166180494,-182.40856706074783,-157.1766338548245
41,-164.2159146670274,-177.59935667429215,-223.05041262426442
42,-147.7667625756368,-197.9509952403463,-140.49933845061017
43,-149.75611777724205,-177.963989418699,-136.49785442463235
44,-347.36146682379183,-206.31075516924363,-118.41339144012537
45,-224.23187364904769,-135.4746444889378,-128.76791925519746
46,-251.59922751137944,-151.83629368710427,-150.92049549895054
47,-139.65245216487742,-191.78722501612987,-139.0796312492412
48,-132.09086231984216,-155.7921768573469,-131.801112288257
49,-169.69821739738472,-142.95835349989216,-155.97579703133349
50,-207.5766419147638,-142.3589146356867,-117.66591756551975
51,-145.26927929288996,-189.41328444961795,-165.86870421131522
52,-126.8949715260948,-119.07795736979575,-136.27234891482647
53,-138.39492290009107,-133.71156048818673,-166.93543773501366
54,-188.3120927959636,-135.4268312753917,-203.26207840985194
