episode,run_0,run_1,run_2,run_3
50,-183.30997488717887,-98.6027524898234,-72.94020634709639,-73.7795657337648
51,-69.36050369430755,-78.13239769262287,-98.2985830113236,-216.13990339910964
52,-67.10090915942247,-193.17962953274844,-113.1768241014848,-106.50312291268385
53,-55.08887357895741,-77.5056196459795,-105.20394773621508,-65.38629134234446
54,-116.91651046801624,-133.14242729515846,-88.10561403760407,-133.33446873163473
55,-51.63863956389695,-162.01388912189827,-150.95558429316284,-85.07716062475922
56,-90.6396223310992,-104.79939690462766,-124.26596052186078,-79.54314485753869
57,-121.55932398712022,-96.25657379167129,-95.10230780863084,-80.12007269168284
58,-127.7514150479026,-81.10855802454026,-77.55877478148724,-237.09935758278195
59,-120.68812039322006,-78.12114150129088,-162.57846632067643,-94.33898401869163
60,-140.13972762892473,-110.78423611827412,-227.97946344962617,-54.20547006498901
61,-156.17536093829213,-43.03819540139705,-96.02004956811427,-76.66512298706024
62,-284.50836056459474,-67.16325878279781,-81.8165784574469,-152.18059105497886
63,-84.16824198328821,-70.30099152145421,-99.51328417089113,-104.85625967299273
64,-192.62400583803608,-63.40863609930376,-76.74804461550136,-134.95154901634385
65,-78.85234400719075,-98.13879726683793,-146.95611520455645,-119.27434345103782
66,-121.11912342714132,-116.08128900479552,-83.06368371363267,-116.05917899400951
67,-103.33830475314328,-78.86017258044461,-70.23298987760292,-56.911038963538886
68,-117.25022154722168,-103.90422822744334,-170.73764221956426,-119.7988525866676
69,-158.91168039831652,-83.00199926273076,-75.31770635603475,-41.84063878404821
70,-203.36283787217133,-80.56751273140758,-72.80830872572218,-84.22841955589271
71,-76.05185901499331,-135.57005323352422,-101.54536830369908,-147.838137087937
72,-98.48194871442536,-76.40804727579446,-125.61262697850096,-44.269674562057006
73,-296.19904225656603,-99.94502962168234,-49.53973639807789,-92.26579568807732
74,-84.64096724739,-92.03211028588277,-133.26306114342037,-131.7889762351761
75,-68.1627136746047,-70.50365769924831,-94.68776007753696,-77.64799816085215
76,-75.96924033434959,-150.3014408112631,-147.64365610677572,-78.47824458245276
77,-99.52969632057852,-215.94684132904848,-93.2137866335151,-302.21867728004975
78,-43.48222116211272,-91.91867554299291,-209.46048965195357,-96.68622953361117
79,-103.26257631153943,-138.2070715463607,-48.85671886520012,-37.64105160582531
80,-91.9832169683603,-58.358770507445634,-72.2172439178214,-96.08965267400572
81,-65.96563559771026,-114.6521184585801,-83.69455458245918,-119.4618188432338
82,-113.50357177760112,-54.405688985619086,-334.9008830823143,-82.16867142697829
83,-191.73094089038628,-88.20138680678758,-114.3633897888449,-98.19595832050801
84,-71.87833348736162,-94.8326362549928,-135.30247416829064,-100.16200700844894
85,-103.83200395583704,-194.22827323622096,-37.81966139193347,-99.1895865036943
86,-100.99118969314635,-77.69122483258407,-127.99908724080288,-70.23482528794244
87,-79.62670370659578,-135.76460987711653,-81.57974910891261,-94.17992016628159
88,-70.50234942116384,-53.47031346136208,-58.95954585634787,-127.3061040133098
89,-145.7755336077941,-56.971090776847966,-266.77678656999325,-88.29886523383101
90,-142.40239614107327,-79.46132593734329,-110.24819367833588,-74.12282674637717
91,-84.96876191565204,-97.28313163212596,-215.01215214939128,-115.64803808452885
92,-45.427794513878695,-75.62865025245941,-51.21176786925173,-99.81676425269845
93,-83.06865031461194,-156.077313656593,-50.97243634743498,-103.30596462086979
94,-244.88659450502587,-268.9963726303229,-190.2202778605813,-114.42521336149223
95,-72.84898495327533,-271.3532253725129,-162.5867632534606,-145.63002602142012
96,-181.3457882270341,-314.51649438626515,-77.71743007354486,-139.97946320214706
97,-43.6572263838458,-113.81503618133576,-86.42720372837977,-87.07412575571345
98,-97.71098301657452,-46.72428490699872,-287.3109293721291,-231.54116205028024
99,-79.28649715941931,-77.37144587066435,-118.96943804725127,-86.57143771446525
100,-88.22426715559268,-68.49253219891511,-78.44979533085915,-76.04770635149876
101,-99.6316355994743,-202.07334886246383,-109.97058126700944,-99.10314014046774
102,-70.00432589253326,-86.93807706002406,-72.41033074214154,-99.65544990840986
103,-52.63913086703447,-193.09983493977484,-80.88455241643936,-47.77406043919459
104,-162.87747951986887,-112.15871064857647,-296.3519096176603,-62.1226791337385
105,-156.62891876479875,-188.43080606510387,-171.65963651792788,-261.4253095884327
106,-73.13998438765647,-218.6701079555608,-134.21995851736506,-131.57767243601336
107,-239.3906716876294,-206.4497180258232,-309.9403098903145,-87.21858019410283
108,-124.82573847816266,-157.50639867354903,-125.9616098489742,-72.38160753667174
109,-87.54413584097254,-83.89219401750185,-76.17966653075406,-87.58028661243272
110,-83.68265227943408,-87.30349711287852,-70.29584411786465,-234.6937079316853
111,-62.82079121358582,-162.5718947393042,-108.8395299949774,-274.0824940116407
112,-96.61742589517834,-54.6914293477727,-101.09012246916888,-121.48271862128242
113,-98.22432429616887,-202.74724372048527,-131.04862153958473,-105.21875442173541
114,-132.34760040061627,-124.3514537458026,-114.13938176445984,-60.99743228723173
115,-45.70562516686686,-166.18463814965128,-130.44412241668692,-167.58634446718554
116,-75.17038624301124,-104.33829835375823,-77.37747982767448,-155.95295104466834
117,-179.91291710468386,-197.2982978252929,-235.54010506409756,-116.94093217293963
118,-99.7747180175879,-67.31559994498981,-159.75331066901853,-93.7680792456074
119,-213.17283770311383,-74.32659224387109,-104.56296214114856,-111.83724689084974
120,-85.42675221930351,-217.99164047525292,-215.0312793432933,-86.09028636210242
121,-76.39986070656269,-237.2938516685525,-153.14426791540726,-83.63129831314903
122,-76.10204926815086,-60.14505408734648,-74.47946030198032,-109.09759092012987
123,-81.44239362491423,-268.0222352715789,-172.2425761074504,-294.12824714016597
124,-118.6921096223338,-116.30291529794968,-83.7456822988017,-61.001602961250455
125,-94.40669610807385,-139.10960893019438,-127.59877342163594,-78.255939241256
126,-105.43942896108712,-318.8550508525414,-97.91365242392656,-93.85823985378876
127,-198.6620368211828,-104.47279107676476,-80.28039125364178,-286.20386524096494
128,-92.55208676555584,-311.2934833142666,-166.2585096616859,-312.9643562711866
129,-366.7608337481768,-115.34391298123631,-96.13574900844122,-70.45593894478377
130,-103.1074118802131,-291.6686949332601,-116.42462260122971,-96.95076369647755
131,-231.00407692088444,-282.8036520463544,-131.8431353483536,-103.09954488737147
132,-60.068899078335846,-83.38618139148213,-220.17880203968755,-143.0700325745427
133,-95.51176146369517,-73.70621126770017,-90.64543699784063,-202.4810002276302
134,-75.46418009083862,-117.7270536748175,-245.77020117570828,-233.87014153858922
135,-82.0550082258815,-238.46471180101852,-144.15076577987162,-88.85026973431528
136,-87.85162793190844,-39.22936443494507,-161.75758190419955,-69.42080443727394
137,-87.02258149326799,-68.22713726288941,-160.00672931778894,-33.47984952825003
138,-182.0305134255176,-235.3705185834334,-319.140263759005,-128.70412017762482
139,-191.4513223921313,-228.90633894175755,-201.3991949189329,-54.533353407159154
140,-38.668814563890045,-197.6305165676769,-152.48488569073643,-220.32712827473478
141,-184.08103618965467,-194.4850858085144,-68.5247691670824,-219.02998937523608
142,-104.97261008633772,-122.1078581479752,-271.8309179349624,-78.31095797209632
143,-186.8139588179785,-161.95246684237387,-102.51947792526278,-103.21743367517081
144,-144.67967516834776,-63.12329949054446,-21.03370457099336,-76.40425937495691
145,-229.2367351759976,-45.24823712758085,-232.3363043131185,-271.3096609787002
146,-170.12039062675544,-230.06930425659044,-146.81057725896642,-76.82297497679012
147,-166.63947470417884,-90.67280729515429,-142.87318291334887,-106.51593397481452
148,-111.2563104095411,-60.77745081290159,-90.05927648969953,-219.22724259833262
149,-122.64891235128276,-290.20301724242927,-51.07295822873396,-73.12312672577852
150,-174.61367592448016,-66.02367010908287,-98.82805707823528,-108.48421812752551
151,-85.68104671804304,-59.13999320815565,-69.60451971454624,-72.11689094779597
152,-77.70311249121131,-195.07827910417367,-291.38050300594585,-84.55069169562714
153,-76.54421114836526,-151.8890685135724,-140.0403020455031,-50.93438050996994
154,-90.99109370986496,-97.42950672731422,-237.94455414013711,-82.76176681455095
155,-290.80584016726107,-86.36580899987621,-66.72888172217107,-48.967865233276555
156,-151.09442945843108,-208.81014613449685,-77.81449278482604,-37.35219858835483
157,-84.92327661600282,-93.93108751923008,-77.95150902343569,-193.1514671736124
158,-181.97515628179403,-77.61183797333662,-267.5825176847868,-116.31911463627429
159,-133.90961716826496,-200.37482429914888,-155.74401475017842,-47.194154409170466
160,-233.5509811663165,-103.51795778671232,-134.06985886694684,-90.2846625590534
161,-83.58740252469175,-159.6299455739353,-92.38379321187296,-309.9368739666593
162,-62.755058193946354,-129.4122473673956,-307.478550808223,-75.65472358864953
163,-78.53265821578702,-51.2315094898951,-96.7249435263274,-110.33439718945313
164,-285.8264240722191,-135.56601336378904,-41.98074758055154,-279.9682393953347
165,-90.58956653497737,-174.4755999274077,-72.99885656130962,-86.36945657017081
166,-97.20511526218756,-188.57544071081284,-64.42624548432349,-42.92729176161352
167,-192.00584839590505,-244.8623186683556,-78.97969655641573,-15.554852178239097
168,-74.52577779214879,-102.97283889464012,-274.63812746177365,-38.19696600317772
169,-134.22728758573976,-96.21518617141282,-73.77411280248792,-71.79686797885518
170,-150.67173108270748,-249.9780268647158,-69.65091060422365,-138.75449965939734
171,-137.46559778215646,-97.34200472436312,-83.73695198213687,-244.0782299932625
172,-243.6053861598572,-79.68339436160996,-108.5418512156444,-93.01644142699274
173,-176.9446292174196,-48.38570615205718,-75.78661913934431,-77.12076109421278
174,-62.76381306580107,-82.24621075378636,-83.57743351011811,-87.10197623584705
175,-125.12587950345264,-66.84768299950247,-294.9443727947047,-104.66469454301321
176,-115.89741264808302,-60.98485506340707,-96.90480210680556,-39.34584465256683
177,-222.202137555366,-138.89072400090947,-267.2292927744111,-65.70599955595637
178,-182.0421415733608,-238.8270157322344,-93.38926166013896,-135.0846028153309
179,-71.28811435838387,-76.16724043998144,-55.24974855625463,-41.14408782815196
180,-224.34722333781983,-174.8444508720046,-40.916514940792766,-84.26460341609186
181,-98.57506601127436,-191.5706333660992,-56.48591068380442,-115.99677711440731
182,-105.95707077879328,-221.71988023983303,-72.02650481485998,-89.4537657905664
183,-52.128648465554406,-168.39949712094,-43.034886142411786,-68.62707447140254
184,-167.8339115126077,-64.9307267840747,-80.89492919213157,-132.86533815843754
185,-138.34414719429952,-160.456798300128,-46.49658439938962,-211.9120237390955
186,-83.12010705646523,-166.61920248942866,-75.49690252229165,-70.11006611617385
187,-74.80029075150031,-331.3755459807179,-90.19861357291109,-229.6620888885999
188,-97.43065957242172,-301.3448113944011,-162.80970323986395,-41.61030513224415
189,-167.9365172655886,-88.61691174130722,-16.808541869539322,-71.572004131255
190,-149.1106850112197,-39.290538220348665,-52.39318492584263,-64.00719724923924
191,-98.06293406016611,-174.4284344618131,-115.60391638530396,-144.20531148540712
192,-124.88868357572063,-166.68703580438793,-78.38308852256566,-52.12359024749428
193,-65.28986649712115,-164.7140924656766,-43.95876026178543,-121.03231538410168
194,-188.12145054142343,-161.9689778319028,-49.90366876534997,-155.92608241777947
195,-92.10701677952468,-290.3483712797016,-45.302832624838,-66.55606333440198
196,-55.37202822306945,-38.03235811559003,-85.33376748820652,-66.24685884513903
197,-243.07008327888383,-92.4705081553967,-233.56808061305543,-64.41582625498762
198,-71.29025516794806,-266.0512186925087,-47.21970403730136,-69.92514207229395
199,-222.1413212978993,-73.38766849239019,-47.11188776978547,-63.955261451532124
200,-76.9240368856489,-51.2918984982238,-55.43321160318831,-113.49800824727475
201,-342.89925622596144,-245.14534379531304,-42.661567233448345,-73.53142004513899
202,-167.81346187594204,-171.63555711208832,-74.35850781295537,-51.18166222413547
203,-331.6284195893005,-133.39613148114523,-216.9490881980296,-64.27680952045627
204,-74.54970112729637,-162.6947145114765,-34.16260463428463,-68.98492477475469
205,-88.05139348073584,-63.51004514542663,-55.616695414081576,-36.94656983984607
206,-70.89106724978234,-36.189384303636814,-68.0588947070412,-90.93722394141862
207,-256.86162836649305,-60.68537289345666,-239.3980796822743,-62.90527206830215
208,-84.06732734510496,-72.2301949225355,-69.58622664010922,-96.55904307574356
209,-166.63488283054053,-76.28723635579442,-47.5308370793842,-34.818102634645506
210,-107.4006301661678,-33.2694668811567,-85.49400985271109,-82.5563366776415
211,-69.74850646976381,-168.45542849724234,-70.63534905583323,-204.2698434312167
212,-156.627292579124,-97.18268473594144,-278.5704123271536,-38.04033131904974
213,-77.87281216374177,-88.91935551717268,-248.77437134473672,-54.516631855875175
214,-45.96376277442667,-76.71098400148699,-71.31157851866102,-40.19677205303847
215,-278.2762249946188,-157.5972277412624,-41.601134753213024,-75.61506712134656
216,-63.59235808064732,-41.20539243147788,-84.63485010726635,-74.52926821104796
217,-189.4456499556728,-66.26631333467571,-70.58489267198716,-86.97463051723773
218,-174.19900948311576,-79.96373887141127,-16.989771832751366,-35.79708732784002
219,-62.56147951445356,-154.90589381777755,-127.1927397848118,-65.88442478151023
220,-65.02771099055992,-69.92266445910556,-118.63036992623417,-124.87627457459365
221,-167.65183366312212,-22.13190097396178,-76.9460078641405,-63.860066227966016
222,-69.48714841723441,-101.08765291210788,-111.10151667557471,-65.96701635523972
223,-144.87328911784127,-41.29661581627202,-63.93084570914412,-49.214560796203756
224,-81.77952803987792,-246.23068627299145,-83.58409948245087,-13.915974737604813
225,-120.13211272875408,-145.66396051142306,-84.53391734928292,-42.50550222130467
226,-200.5687645571768,-84.05339636027267,-288.59967719370826,-72.27818308628098
227,-155.7586420062577,-149.38447474985486,-85.2397211284131,-14.755889748019987
228,-81.24660196021728,-63.09216468164372,-76.3732154725709,-45.9587410168654
229,-70.01644980432286,-91.03457818972888,-54.694231297297925,-87.41771750724392
230,-64.56996691385073,-73.62982853837799,-89.20978880728727,-68.6561583587121
231,-62.00149813469056,-71.16089455677368,-78.44190976824336,-40.8117998508298
232,-73.5987304311717,-71.21095039037095,-64.53222470068475,-109.5582064801026
233,-75.80618689424251,-84.24400898620912,-71.1489503747359,-85.59643101603467
234,-161.17986111651044,-62.85710580769441,-109.34133204462678,-50.053210683668354
235,-38.761885326815495,-64.39760295320895,-100.68498907858998,-80.27663517871375
236,-73.66552988184255,-134.14477970286572,-36.37724992696056,-66.21506581869008
237,-71.16395410788579,-49.76193435999963,-182.14729682584127,-40.304273668814
238,-309.97440078854345,-147.37440598902077,-80.1209453105818,-50.579763809713704
239,-66.73938001288033,-71.15673139283574,-66.16291809897328,-60.684487334479975
240,-59.78015718991821,-82.38696118660674,-67.40553416191052,-78.85309300534288
241,-41.319228888322925,-88.88233418287675,-45.52443824257261,-55.77646970135547
242,-94.52850050090524,-67.03677896358903,-64.87220204780462,-43.4405084247617
243,-53.80894247448158,-64.56502611964677,-53.26759641270404,-41.44168783501341
244,-70.9747293095314,-43.83673107791142,-68.7533778190712,-78.26397646013405
245,-122.1321556920136,-70.38315989661697,-75.16585874819346,-46.60846689850686
246,-155.04834921238324,-66.20818972905715,-40.21911684020006,-106.23032029837091
247,-83.40646385860069,-247.48884054501016,-89.44421463756781,-71.54885271823112
248,-65.94594611535213,-66.22989458322617,-65.84297759883253,-49.07668883769897
249,-63.79572736007249,-135.5672531195335,-83.8126278787847,-69.63003304449548
250,-63.53950794451262,-64.06234495787905,-37.718909633785735,-62.91669798390399
251,-57.472791073486746,-43.83640749911151,-70.28330775029734,-66.13925224067026
252,-162.99857895945806,-81.34663123641131,-219.30043998642603,-72.02786144655283
253,-40.08801687619544,-118.9271304175424,-73.78481930022976,-61.47472199538498
254,-66.56185060747018,-64.25279292538345,-35.89502444216005,-39.62343470664344
255,-74.13160851446833,-64.6613176014639,-181.7456503297737,-82.32869923900856
256,-67.34795575876333,-74.4695611361059,-39.56502463122888,-66.76849564029897
257,-63.30741986377745,-65.2691973453275,-68.52226643032074,-81.29474778342117
258,-265.14576405942995,-75.20067457272707,-65.96420078586252,-53.10346245504273
259,-43.28024215191719,-37.55056812719473,-73.58471183362394,-65.17616013276722
260,-89.13146006430934,-13.302159979341418,-61.71982786799638,-122.75169144414429
261,-48.735624366172765,-190.01358086575613,-68.90863407460557,-60.56641239430703
262,-103.47716073664144,-88.9780708091813,-191.71920914128432,-73.51258370639424
263,-73.09742921565766,-73.90663714402037,-38.73170586614815,-66.09645681802668
264,-67.08294046200048,-63.44088680748816,-43.65254129710725,-75.97655104516662
265,-96.26205801071842,-77.80690255640654,-125.08204966222858,-37.489231203510364
266,-167.41961267281476,-68.6426015761273,-119.78535842662144,-67.41043050154144
267,-64.83052251778034,-37.12003596615124,-65.03750278875366,-201.538180098382
268,-134.42828312021703,-96.78636961223312,-21.72677638406704,-60.55225828547182
269,-147.6925882117035,-75.46368313597598,-83.6017842266917,-40.044117028178505
