episode,run_0,run_1,run_2
57,-157.66129588417735,-155.74415468747193,-138.6005554655562
58,-175.66708510143448,-128.89269914398267,-180.43494086202446
59,-145.4006705432221,-157.482222039495,-194.16258804872274
60,-177.8091280265197,-127.11115500690362,-169.12188389708876
61,-170.42930061672092,-146.7837370324596,-118.11851154690167
62,-190.90437846895392,-187.8573529407215,-199.33904058466203
63,-116.3613290093701,-128.02681806187667,-208.99231671333104
64,-121.10641276503016,-165.82919044430912,-136.12778175412177
65,-124.08255058693116,-297.7418692832366,-252.3154362462157
66,-225.378632816032,-136.3591543318736,-181.8879734578333
67,-163.7915561819437,-184.27485868053617,-164.04859623086278
68,-231.91999864231337,-181.52328211223173,-150.75622539854234
69,-135.5511411847865,-263.5815752999586,-140.94545018988543
70,-179.8966333247473,-150.2754298332335,-132.44686210507933
71,-147.8625998486549,-153.18117595440293,-171.14183207339755
72,-141.04202596024027,-132.35059111070046,-164.79644197306328
73,-165.61319281279367,-150.2534042328938,-206.3693859586731
74,-116.77212838338129,-213.6322036301737,-128.36555542897887
75,-170.7135554341468,-136.07905748967795,-127.31793977741799
76,-185.58149710537248,-268.12957511200614,-229.78515549289529
77,-145.14944712337604,-124.64564437356948,-170.73721138448073
78,-193.75613894306923,-160.2970670907097,-248.11311134135812
79,-229.73954819985545,-145.72439410299916,-164.7976966159656
80,-121.69611287540184,-175.75200288385517,-159.12810060812217
81,-147.3663965446183,-142.9713124288371,-160.619618148663
82,-174.9280777909076,-144.93960098402155,-204.6085802879329
83,-125.53373196204087,-184.59910036618615,-128.37595716887193
84,-111.65216223720408,-183.1929742151464,-168.75946523796003
85,-158.83526279298286,-186.2897984551048,-213.37816973778894
86,-205.41985695053475,-136.68631911177215,-263.5137721585108
87,-167.5402595054798,-145.21797049188427,-168.36200087394386
88,-186.3601768763586,-143.3841231722672,-148.06093538626178
89,-139.74488808113688,-285.4578100213928,-240.56553562679017
90,-181.8066671105593,-133.5028687409523,-195.52274377167882
91,-155.21872525335218,-178.32059636497152,-160.20878750792485
92,-144.4062626352516,-180.290025343186,-135.27430054213212
93,-162.5773596253144,-114.28389838412129,-145.47299732285182
94,-184.01079310314063,-246.78799915735087,-164.21907993061285
95,-116.12118046408104,-151.46374267659724,-144.6963429029759
96,-198.47516675814128,-177.205883381204,-186.83576325711044
97,-119.72066315332862,-171.60814278975238,-131.04193411303459
98,-117.8219911120975,-146.90242941341893,-204.39634363913862
99,-199.0949869237392,-302.76281581167405,-272.07607431386947
100,-263.81334777831046,-161.40200477909798,-193.89063935716723
101,-120.36632847284136,-168.80976381812226,-188.80013293382285
102,-120.66272278215104,-169.61673375275976,-177.91249446172833
103,-205.05234851825804,-159.49674079765538,-133.5972173191551
104,-132.05602382889788,-161.88248823813126,-125.9947719544849
105,-126.41400932620616,-163.91976198940168,-194.36460783222685
106,-125.08327082993858,-175.25209426822676,-176.29485169749057
107,-133.96791960979508,-194.46311091935368,-214.26944947965706
108,-163.0203347718234,-270.4722851733168,-228.00140582016894
109,-120.7015995848936,-266.1351528698138,-237.82403565682392
110,-159.4521046269814,-213.7908896581008,-171.02793245176832
111,-156.0415887077091,-150.4323744614175,-163.20320302903644
112,-194.2063241079072,-139.75848317059587,-178.87559320335922
113,-133.9311984501585,-125.24335584409496,-136.3013969385194
114,-181.2040264024304,-202.50718667743504,-232.88841670882098
115,-133.17317367435948,-173.87720276091792,-132.72777450019464
116,-155.35422310859946,-120.01466584321923,-185.6987729866223
117,-117.27640122218853,-330.00059823431434,-171.21890736827595
118,-256.2009862170346,-145.049780966879,-179.60822718398526
119,-164.0397663834045,-236.0148389604473,-136.51937278462117
120,-126.84896847393009,-179.7708344169612,-134.2506881917237
121,-151.94422716418188,-226.9378148284374,-136.88864540560098
122,-128.09586495092853,-238.2425067040916,-179.3850635902005
123,-117.77750258707668,-265.0874518510606,-248.47460428279112
124,-167.823957688317,-176.80598549882927,-152.992145101953
125,-122.54132755567886,-121.04814525612238,-147.35936365105596
126,-126.59267425686043,-184.85568273856612,-220.87833964517256
127,-152.37775847415963,-158.31274399749142,-130.93745640601372
128,-119.91481567411611,-225.62703706684687,-178.71237710017772
129,-137.01182460582078,-148.46337863006357,-179.32443259334593
130,-205.20375887881903,-257.7825390479707,-151.1854554308018
131,-160.3450996456584,-193.1742811764352,-167.92291907581057
132,-129.08380847822664,-212.52670908789452,-127.20354650113143
133,-122.08355447416504,-299.6399093281973,-154.68047805398993
134,-125.49382582930252,-100.34280405921984,-185.8925017702559
135,-163.93107866462012,-147.4935688914951,-116.14845994698928
136,-139.5045080628969,-116.42288389526476,-157.33232705453253
137,-134.89181772935453,-200.18595219583264,-155.38922089552483
138,-133.6192891074076,-190.9155413457189,-168.9683141587568
139,-205.4343721434454,-131.01236258770177,-188.54363036783562
140,-110.85542300788916,-107.982578968656,-195.64955826639073
141,-121.04114676321386,-112.49181927739996,-207.24450990965897
142,-145.9639964653549,-132.66739232134782,-117.20624650763588
143,-141.84645256161352,-126.25567952845051,-144.2035922095994
144,-133.88782599235816,-130.222761224008,-245.7892257498881
145,-140.13397942871103,-117.87514067722508,-193.22259439543734
146,-180.58875087361992,-192.71656382133267,-207.5744685571814
147,-215.6624806101617,-110.80936410343206,-193.23816824303879
148,-187.2572646082168,-111.99390902561107,-251.84603015064914
149,-175.11009037180546,-126.7781200026349,-216.32657676120783
150,-147.07547994080204,-120.72679815916288,-126.07873609901613
151,-167.87781022945933,-96.13365167169982,-176.46689310354978
152,-117.5471238995458,-85.73163480677923,-124.32524924720313
153,-141.44573079638224,-160.17667127083837,-195.64160306226705
154,-139.9150171430935,-186.16509009829423,-197.56024606318465
155,-236.58765854504827,-101.62305352711007,-152.9191404571821
156,-116.37019173917366,-97.1302901278794,-195.89347271181896
157,-167.87142637342524,-91.80732583882748,-225.20754005737723
158,-112.62919260310974,-94.7377201073834,-142.86872784510453
159,-125.40553132174364,-146.03762463667752,-179.12498289745767
160,-168.10862711537163,-101.46580769444846,-190.11991410875254
161,-243.38096536538563,-203.9133518084878,-205.79818790142292
162,-276.807652193868,-100.97015566969864,-157.90697622899467
163,-113.32298769565094,-85.3979004249119,-203.79144135106986
164,-220.66027746186785,-130.6178249330304,-145.1854662991267
165,-117.08576279023224,-83.98010938775714,-162.5124541095652
166,-214.63984065693737,-161.70927109669964,-143.45177169297375
167,-130.899657200144,-199.55301503363563,-149.2756034599504
168,-202.9204065945074,-106.46504176219511,-155.92462737200134
169,-178.054135564425,-149.21360344757673,-169.75971901113277
170,-180.26222941843864,-164.8540958040915,-178.27568781638655
171,-205.30054474352525,-77.19660950753082,-126.32933636508939
172,-207.6842028485009,-84.34892621843773,-169.10981589608534
173,-154.5216668328906,-88.8764302619551,-137.5107145518062
174,-180.53539967332412,-82.7789476145752,-208.06931975184753
175,-192.9988562486133,-91.929830145325,-232.2014715512464
176,-134.68562717845955,-172.5370889319799,-152.33133155832493
177,-160.7725314587165,-94.96173212489354,-175.84866448984212
178,-165.47034928527663,-80.24373188394392,-157.88385209240911
179,-178.88457740161837,-90.48332819849529,-195.94475009023375
180,-176.5687292188097,-85.77571469794788,-134.57363044275166
181,-193.0680549819696,-86.3920377705941,-143.55293876701163
182,-172.3385021114372,-114.53884298293316,-168.55657498927738
183,-126.49149246551043,-86.18083183130926,-112.35764612493801
184,-157.2492024739945,-95.79814048352264,-137.3912512146443
185,-180.7951100310997,-88.26753155184446,-173.54178351804813
186,-164.67724890162364,-115.0345724140856,-145.1953093466629
187,-150.2116537660892,-82.3660161427369,-178.20803423566196
188,-157.76937406273026,-70.04775470329037,-201.12228337500574
189,-149.18109000414313,-75.40309070602027,-204.8923206249813
190,-133.86926577363917,-78.67157960373197,-214.95387609883377
191,-134.76142830382577,-78.34460725187722,-144.43448059908252
192,-144.65378268463328,-170.97752948637552,-137.43370393613824
193,-135.38184611288543,-123.72968309075785,-144.39915484857409
194,-144.0309429287938,-78.47389836855181,-238.05314748570095
195,-202.26970650801064,-70.98356958928655,-141.7188700425723
196,-124.19477702661165,-192.98088084922117,-118.67130818629718
197,-111.47099305534636,-103.85085267577202,-159.99873591425828
198,-113.91179690080328,-83.21405995958673,-157.093802386546
199,-121.63647856720064,-67.40691194630598,-151.18161202080464
200,-125.87011291921984,-71.83350849981215,-181.24912065032998
201,-136.75000310260654,-82.56507069888926,-148.980363771616
202,-102.5691653533628,-72.00262467181396,-166.6824334388527
203,-107.0296373197435,-76.85674739130086,-183.89028306946756
204,-110.90300623551455,-77.90847212818073,-261.7318333218654
205,-93.25889166169034,-70.61770120376808,-232.19846847706287
206,-91.79299507970636,-145.15477403346634,-170.20473095915276
207,-92.9343802540306,-129.10688933181177,-140.76061576713207
208,-98.82515738712604,-79.64929752968366,-197.7587293077338
209,-112.84839331311449,-65.76425923336504,-112.82354880700237
210,-123.06197306136586,-70.95338595322005,-161.33919757210086
211,-109.15878902715885,-68.90559894451755,-128.14850003107298
212,-81.57152044758828,-67.64305274797665,-149.96109455287132
213,-101.4925706871812,-115.4146924657195,-109.01571522636316
214,-95.82231561893856,-71.3217245673619,-145.68582188934377
215,-88.34916870452018,-66.47020075732767,-127.78846106094187
216,-81.74923186632739,-70.5684937944676,-124.96283216717859
217,-100.32288421575628,-67.35592736994302,-97.19251572004319
218,-83.23194670480423,-165.9902906688668,-105.83817029323646
219,-171.00081733682862,-68.3061529519388,-114.83465921277171
220,-86.66179785003223,-70.12971764968933,-153.01902443571186
221,-88.34005176476205,-71.4223527986879,-154.60404191912562
222,-104.44313077000388,-63.96791318602734,-89.26425312691862
223,-91.98494764441052,-129.83352676514335,-111.50682104009621
224,-91.59316695634833,-60.10354602961425,-123.66198828951876
225,-171.16514877637792,-144.44396524346868,-115.44969947180857
226,-93.3694253355641,-62.20309688503122,-124.13792353883264
227,-87.70945063131732,-68.86281253740455,-110.64403394049565
228,-80.74542793813251,-133.03678778586985,-105.57616448451935
229,-79.7688798505426,-133.12003638077042,-102.44236913463742
230,-90.59757206094224,-121.20953865398673,-107.79246330643426
231,-81.00406461292924,-68.80415094004712,-82.66489098465904
232,-72.8479376050141,-66.54291751752241,-130.2491094048143
233,-74.07576160015816,-139.38079809383197,-99.97957765885546
234,-74.0293924263216,-110.71043910088378,-79.70106591463097
235,-77.81733086512637,-158.93250678103396,-71.64820308656874
236,-97.59086805034671,-135.2564553037525,-80.22911296076518
237,-71.83262762264489,-62.273213324340645,-97.5412612213183
238,-75.51266300207661,-71.59307849480194,-89.99812344082588
239,-74.47370581883997,-62.78358536726088,-89.02699735274527
240,-110.94272693200188,-71.65818505592362,-99.24763862636496
241,-73.99108834940856,-72.41228470764153,-89.49116070787127
242,-75.57810115817637,-64.61345294760304,-99.4406177906375
243,-70.9976218151968,-63.48507919858206,-153.1975825172059
244,-114.39600396632676,-66.95411244846441,-87.31611216452312
245,-88.08554357638793,-68.48432015037794,-83.22752902515681
246,-74.70707044312186,-66.16834691463568,-83.98687110110191
247,-112.25025863666924,-75.65751657868891,-85.75150271592382
248,-77.39416928042547,-68.44418884757441,-75.15951788254331
249,-74.80523693209419,-124.77146686908242,-79.78498271616641
250,-75.90118646987031,-65.44465124617041,-82.2180951567262
251,-75.6601679154432,-65.93918215324338,-89.85573653299697
252,-76.3589966329246,-67.02111649681072,-83.89025269143272
253,-75.8328280233871,-68.35535743893952,-116.28273712130382
254,-78.65617739424532,-70.76216187101144,-116.23708622113227
255,-73.87282666509552,-68.48855853082502,-125.14205840134588
256,-73.32854572180385,-65.80741734436806,-81.82755088622798
257,-70.61870033841868,-73.71590559805334,-139.35241303948632
258,-77.62157131744931,-65.53383467057995,-181.65694897536616
259,-74.1839599969207,-64.4884612671521,-83.93402307174014
260,-162.9700737197477,-72.7550603175681,-167.9320339919531
261,-71.92140734199434,-71.63779307606225,-118.84543069631451
262,-73.88414367578171,-60.07200835438976,-77.79113940730782
263,-71.18176128943715,-114.487010118415,-69.06361831571408
264,-74.10233636285056,-64.29836542517458,-132.7826109851003
265,-70.32592475662875,-135.91496568628358,-79.29332663250031
266,-65.61880451080172,-62.826054711879785,-75.68595771042786
267,-68.89459630117462,-66.59792045530128,-118.66689453294131
268,-88.42335626193066,-61.809311800651386,-99.60199131311839
269,-70.24788473403785,-69.86200595969042,-96.34612187451899
270,-71.157817005957,-64.95524267556996,-73.18949224123735
271,-71.4930394011067,-61.023552979593326,-114.36072533738421
272,-69.42279422282814,-61.02972242357519,-70.60349526683704
273,-72.94427670825597,-70.37069359264878,-125.22753729057908
274,-86.23110762959607,-57.63479284470133,-94.64843382526333
275,-67.30878124901714,-60.65259389802612,-65.83115471707683
276,-73.99543965953492,-68.37255750950003,-91.71642246454347
277,-80.52748546862142,-67.62495896402335,-119.76487826206295
278,-72.70349538613628,-65.28240159367836,-77.97708558643173
279,-67.92491034689213,-63.38496520655758,-68.81337775073074
280,-71.30303766056916,-151.93476287816395,-127.74499355472656
281,-66.05571259950388,-55.79033666120501,-79.13985742306517
282,-67.31261490192469,-55.905847454684455,-76.61819460196736
283,-68.48163410725283,-59.28525486323628,-78.24396609609134
284,-67.87062987134887,-63.85318101273498,-85.30869044731806
285,-68.14540921565712,-64.67296118582948,-77.0542628560613
286,-80.83546472122005,-60.66439288815876,-82.74161455280233
287,-76.14473306415017,-63.1679098711389,-76.82485200711268
288,-64.73470737485032,-56.39992491681394,-77.26606818194297
289,-64.80876985017738,-56.644030733873706,-73.97371872583744
290,-65.2371394801317,-108.98748954854295,-70.35066667933822
291,-68.34109673495597,-114.8809419738591,-85.42941708932238
292,-63.75329339778475,-53.087281325442085,-78.44568827229136
293,-64.52542618835375,-60.595548346425296,-74.85248648970536
294,-66.06792629472416,-125.61689963646783,-75.98979796125244
295,-67.59841082347386,-56.49863627176831,-89.08857997177626
296,-62.96818319700804,-123.44049693792556,-71.72583519289037
297,-109.8413286643287,-125.92092556281324,-78.12329744846951
298,-112.06111345847904,-56.32717133706018,-72.48240866523145
299,-58.96095646724615,-112.6041662587877,-80.86172878846712
300,-113.18843440747804,-56.8259651154825,-72.71077323665158
301,-114.41456801826428,-55.10020622574013,-87.74963799203077
302,-58.093721904865546,-118.20293299552714,-69.23266147573247
303,-59.04891434611893,-62.02349387341489,-76.03675413947859
304,-57.11320384354418,-124.1435830811956,-72.76942462271839
305,-57.597366038123056,-56.75114264770494,-77.6140606292496
306,-58.72544081216767,-53.46409470684732,-80.94297395890534
307,-157.00463531083838,-57.0002217447679,-81.54378975764675
308,-63.04433227492434,-127.45218452990711,-71.2177120746125
309,-109.69309726126671,-55.60484402875007,-74.64462842612792
310,-58.93726903149072,-110.2618989820617,-77.4960874389276
311,-58.59304573187413,-53.02641799652403,-81.40431189537607
312,-59.217310245571326,-58.95363094153559,-57.43773469763158
313,-115.10713896490763,-122.71549672609471,-87.91493052498542
314,-61.99291232707341,-59.40304569691295,-74.80006303085216
315,-133.34463843445235,-153.59166079767508,-79.77423870318806
316,-63.0272644374539,-58.31631508974715,-82.60344232762455
317,-114.48012017910123,-136.93794166777317,-68.44894959769816
318,-56.98189237314249,-113.25786346899947,-66.63484974152223
319,-59.56303154235243,-57.98437738086627,-62.49527628265527
320,-64.88553840662237,-125.79560748823596,-66.62234686432924
321,-59.25535543729118,-151.34577474679088,-64.87861936957624
322,-62.58856622093548,-55.40706409911254,-70.5628289641247
323,-62.16772309896651,-56.29563067970485,-64.25627706934688
324,-62.92831034551836,-108.41605301207844,-67.06203157483696
325,-65.09077080192351,-60.64688240405942,-60.44162650282791
326,-63.75793448263093,-55.39859670201995,-150.42318725338686
327,-61.80373022522455,-59.87263585543368,-128.04942335099832
328,-57.48783040420219,-54.32988157801013,-113.01473444755803
329,-55.63374190958057,-63.62001482189672,-109.14163933471832
330,-56.16175783779694,-124.51373188037444,-139.13608549787185
331,-56.82393436122265,-53.59160880423086,-66.14653577410844
332,-148.08516718500547,-69.63699567492155,-57.628841755722675
333,-57.27485294521486,-67.84367118819405,-113.12221233385576
334,-55.41256795289539,-66.68845585129958,-118.19097441526782
335,-56.35412174219218,-61.72485099294074,-110.8090735229598
336,-55.77023693084335,-65.0362524755281,-56.080241747636855
337,-57.201546258577615,-60.05055232204916,-54.5705778665412
338,-61.16544548331515,-61.59721664921678,-108.17777338497481
339,-54.01775061214106,-138.03103123032247,-58.94254039591689
340,-54.74632518103877,-67.43518970589759,-60.28136707685992
341,-56.518142648475845,-62.1899745992549,-61.35545289677175
342,-61.63759410146714,-61.86758160982673,-52.885964699439604
343,-57.4802762569788,-76.17678502923374,-62.42991808016071
344,-49.633150349486975,-66.97542104270646,-123.23625380227779
345,-49.66974260594608,-64.08999618038372,-144.796502775675
346,-50.89938746067271,-64.62317620993446,-74.75845857584228
347,-58.61639294058046,-78.84907059042277,-109.25343247547598
348,-54.056225481633504,-69.99369829406128,-66.04378993354361
349,-70.7348744213409,-69.59953295537252,-57.64080494569653
350,-68.97403128193623,-80.49836530635696,-68.84864978469422
351,-47.15423395447169,-63.55991845120132,-60.42740182419155
352,-47.45082951686498,-61.93402914694385,-69.48099582193284
353,-47.715134654634085,-63.58259749235312,-64.74511828975035
354,-47.58056066399168,-69.65017735744615,-116.50831463560048
355,-49.72854273328512,-54.54332181878529,-57.741754795408156
356,-48.25944896246748,-65.79586674738053,-60.35473316666757
357,-49.886300548065066,-66.70958473675978,-57.99694135311422
358,-56.69932393226329,-65.08417227509086,-69.18311074675691
359,-60.76527365079252,-65.83679511841791,-64.95148324063626
360,-45.48531323453656,-55.85007051765984,-76.23942821314884
361,-47.068916742523264,-55.30887953510293,-66.65367686315237
362,-53.26837898319189,-59.13841257635846,-64.41038511226486
363,-50.01347196915884,-64.66163946375202,-61.084112209547236
364,-47.741945598186845,-56.32764178727828,-68.08249671529856
365,-49.16995100649704,-54.32032517479585,-69.68583115050492
366,-45.82139618412173,-51.53103536694125,-71.13092612446532
367,-54.93355473085304,-66.75354079000384,-152.0683640096903
368,-48.82316457094872,-59.60853415307966,-60.31885298584198
369,-45.35493467243492,-62.08978176708709,-66.12929017764047
370,-141.67485942782264,-57.827512812985205,-61.4906752866091
371,-109.82447176928676,-49.78954766241219,-61.180243095528894
372,-55.148737368854064,-49.39522572040432,-65.9350256581296
373,-46.931394519493615,,-63.58634240605036
374,-49.12393368429982,,-67.71065741926945
375,-45.23940321895776,,-59.04327801770314
376,-43.90176773853397,,-62.55712494242465
377,-53.92218412465236,,-57.88781875831478
378,-50.62070598809624,,-65.99828378580693
379,-107.97520605010008,,-60.64433182469247
380,-46.78610825940676,,-59.502862200018704
381,-45.13219071421299,,-61.96255878048417
382,-46.95671119242046,,-58.37699671133927
383,-44.56321955212794,,-62.498847179365015
384,-47.860804603693374,,-134.01147731715096
385,-119.08690481327082,,-61.168811281843126
386,-45.68888280911924,,-60.541582600277245
387,,,-57.71017045531612
388,,,-59.092822024327255
389,,,-57.36868888674785
390,,,-55.404928889536976
