episode,run_0,run_1,run_2
82,-45.47942558149806,-66.55748352152247,-95.41480690485432
83,-127.86305149068698,-60.40203878246892,-76.46328192490367
84,-106.41341018059596,-75.37986147051538,-125.25057017642793
85,-145.4225738209785,-99.43751310533648,-105.9159162435441
86,-54.47369259065848,-100.9883151273737,-120.49030519198956
87,-323.17685037795945,-59.2472832188892,-91.56192916242917
88,-105.34326611189168,-73.35347749461228,-112.30279906761523
89,-158.11180604885496,-89.58234481424647,-92.35654350623395
90,-68.54938713599941,-122.7442930181688,-141.26107133365377
91,-137.28026806617603,-53.89359727392696,-92.59479195239547
92,-109.5150163284411,-50.95134426374612,-85.48471825211823
93,-115.12955594117192,-138.43396130614695,-90.59489641475264
94,-174.10535934041505,-72.61731944107973,-45.29702151885678
95,-132.81397352830618,-119.1421732645436,-72.75270286409406
96,-79.12383033176764,-91.5748264087116,-87.44456725687684
97,-64.3830322307028,-83.60034666818115,-59.70349305120198
98,-133.85192118091024,-125.816696711877,-111.5214825581276
99,-77.12136555724919,-70.63970602745219,-92.92386435038298
100,-91.02917688133353,-86.55072007945138,-83.1724743996594
101,-129.04337138114798,-76.77001897855038,-85.71871110234538
102,-81.04743157895436,-88.21337396572454,-34.56963125351876
103,-100.50025070582244,-117.91033398686508,-134.4871525355853
104,-77.44395242798839,-72.38785261431666,-81.3051666924809
105,-57.4561202039861,-219.58397545331488,-72.6683753665644
106,-97.69799274917229,-114.98046545491889,-87.16618305524882
107,-116.88992800633324,-76.96765918612917,-108.31599599247065
108,-98.64948687449422,-109.00669751264935,-54.263414777747094
109,-100.34572436193004,-101.8615222804172,-104.18394543920057
110,-120.32543274884144,-78.13924854751117,-55.9195602056656
111,-89.35001272083484,-67.3210359930381,-84.07631671240053
112,-97.91693804873027,-73.07973502071691,-172.33459315229172
113,-118.51963749256292,-120.49470488833175,-86.07631575103093
114,-81.04106391348247,-81.27755020625287,-55.593193877473624
115,-73.79816336881593,-123.13353150219868,-91.34866549604942
116,-116.81271284420916,-108.97754334529267,-70.23614082866754
117,-45.889169890312736,-111.1529335908844,-82.4022170081023
118,-188.36650942437552,-95.98589403705115,-53.365400243777366
119,-136.47069788203936,-90.0040179263421,-54.57687965464025
120,-137.58166096757634,-117.2589018242248,-71.22250879723936
121,-317.1392855515962,-57.28734937131004,-87.12693731127445
122,-121.9096913602408,-201.63636101928472,-104.30689249795651
123,-53.24843869564632,-95.61156271203387,-122.67670510415336
124,-85.83495900639831,-71.03614581948146,-119.6241796198959
125,-56.94730699450994,-85.09837049509798,-72.00176544088697
126,-110.02761897635392,-86.7803673504181,-126.77376086900395
127,-48.49191481442757,-119.3130151404273,-74.5969312168614
128,-56.581161306294646,-76.58781138014425,-121.33266740299672
129,-65.61543066188085,-101.88205633404662,-228.78899915067075
130,-76.68960800148943,-56.28607794077294,-58.48716258362236
131,-112.37549777531534,-79.31479485150777,-44.02435412460423
132,-131.70069000214374,-154.76601298131115,-75.87840062553906
133,-194.18661537439783,-138.85093791595392,-64.88100654937747
134,-93.41830228091972,-107.27092437648476,-64.38371004418535
135,-93.28646759236644,-67.80043135294962,-108.28939302737604
136,-102.70312236828764,-89.92403912947009,-62.48557726079474
137,-313.0595855381956,-74.05514481737214,-95.64889108165202
138,-75.91296519258033,-50.24010711183181,-72.44232120318469
139,-50.71209051390999,-97.79508434446214,-70.66702441102022
140,-150.959766985174,-72.99371671034307,-83.07924941629128
141,-107.1680783445598,-50.557045546436086,-83.5798761253582
142,-95.79309098466764,-100.89383770662504,-91.66339841281092
143,-86.18658572753799,-141.57276403272235,-116.78428557387697
144,-98.98475159466712,-223.0146445934864,-54.51048042867689
145,-124.11146333746132,-134.89616629328185,-102.65253449863312
146,-97.76621477949766,-143.3722407695192,-57.12183217484055
147,-48.19651110183674,-120.9215517394306,-103.34894370731683
148,-78.34848685143754,-102.7607311292789,-98.68450497375146
149,-45.92516177670696,-53.191556605979954,-63.766956592250736
150,-68.38122842870997,-91.33269500299394,-72.62098484768275
151,-180.7643293137994,-216.10450813468896,-93.38711160477479
152,-96.81821698023776,-81.52617117215196,-100.95004599135898
153,-129.55866604561658,-98.3934616863896,-71.03886488060246
154,-93.90777329375726,-43.13325632246854,-90.87576591189645
155,-108.66277641977707,-74.21746971507176,-37.14078119179033
156,-142.2448826741778,-69.54650681141776,-79.56493813265814
157,-86.95150568013517,-91.45424672112144,-185.16343848126553
158,-103.8405445450425,-88.67001340098507,-85.10159755683173
159,-178.28559838626282,-160.04477973771145,-69.82299029616942
160,-288.8031288205525,-129.71666276224838,-45.90968833743047
161,-93.99394246657393,-61.9123845922112,-95.23854967960969
162,-91.61454939932808,-64.66593798508315,-86.37732277318362
163,-162.60032049156555,-68.47730963364293,-55.61052971645559
164,-261.84186557345527,-72.75587382882007,-100.02414232712076
165,-92.20755974141537,-145.34769993862108,-51.888059367179515
166,-210.3232591568524,-204.33349540565703,-182.63398111995085
167,-79.57715094514435,-62.20393217758964,-122.40798002388797
168,-75.69481863419412,-197.75612845618497,-48.64469257243037
169,-85.40661202590147,-182.34414116932695,-115.47875162991306
170,-63.230383761601104,-120.82287164187706,-116.06085492983117
171,-242.84812789733195,-217.218311915118,-121.49486568529986
172,-116.54854116588804,-141.3119363413327,-116.79579913027933
173,-178.09135557906973,-66.49252011820079,-70.12122197486057
174,-120.70149686601366,-65.85858228388074,-100.68640604106847
175,-140.90609492928314,-83.41380587065998,-125.77361418243943
176,-243.0407134528608,-86.57237071912132,-59.594690815521574
177,-79.69720608542514,-88.29671078696332,-74.26805627518333
178,-65.61154200893715,-106.39960371762432,-86.18029112279919
179,-75.5526343317527,-121.63320286279502,-63.43029987965222
180,-113.7650775291681,-68.83122162449628,-68.82918331922832
181,-95.92496418176772,-104.42994835743656,-91.66417601647501
182,-71.96408685050612,-197.93156387102024,-72.94273286963924
183,-80.88562846906763,-110.35768103989604,-79.17015550160677
184,-118.8851595825513,-195.66053844414697,-79.9195411422426
185,-97.32849025695936,-84.71259251833334,-124.82606222157392
186,-108.34887792290826,-80.60510276900816,-68.92683389035909
187,-117.92016979496977,-120.53363823316532,-106.91182690371781
188,-346.9446353596034,-71.55804626552427,-95.62030661204534
189,-203.49305960145136,-144.5098342184947,-76.01427871904772
190,-162.4155595129105,-267.88138070046506,-77.77656032139673
191,-158.28986678361125,-99.16329052057296,-52.823395913240816
192,-92.02072029978294,-118.66772079988272,-140.58924794893224
193,-52.01608280268204,-132.12926732542104,-100.17017614825141
194,-92.87289095225808,-91.38647002057064,-80.54732401900372
195,-109.48987125192936,-61.21661359793276,-71.21829054394223
196,-82.00487045441044,-69.27117108249722,-64.116700252562
197,-60.79947622474431,-103.0536166107382,-111.23402721955358
198,-89.56367378107088,-94.54543833457114,-148.105952982674
199,-111.09441450497712,-50.51935267664617,-103.97878607206249
200,-83.4211981575692,-81.32803104445938,-86.50777569816952
201,-76.8234365524203,-80.82808342432448,-88.19592868293958
202,-110.25893389538965,-120.40390348995555,-99.22074074232759
203,-54.9627930566351,-110.57707901686386,-119.09705483239213
204,-45.9193507541651,-95.8308266182376,-163.90649852901043
205,-50.986048932571606,-101.77059264464393,-189.85749665651423
206,-178.14529680865604,-119.84599616114846,-70.47080916919708
207,-86.94028011670216,-151.19647873891287,-97.01733460702448
208,-82.98491148188461,-206.75122350158009,-137.048407603181
209,-45.96186335440261,-79.02031815557461,-75.73487073508436
210,-185.86163600948245,-275.4609967406204,-253.10941536748808
211,-129.85133968724386,-94.57996293295204,-65.99563747150138
212,-42.703061346680414,-65.74867630729541,-59.6789601245939
213,-143.22362138539552,-103.66867599448524,-95.03783540528467
214,-59.15599766514412,-111.7070075300214,-94.32826300196663
215,-162.58458459223957,-43.555188270928,-286.5723860290128
216,-106.01279368182816,-52.03911709327767,-59.986285622074156
217,-98.80587977245166,-187.6644691258318,-150.21216794348095
218,-90.21390596387256,-119.4798399473782,-100.06070388849449
219,-78.33341336449433,-97.02834702029575,-55.61719196538341
220,-200.504698643076,-57.90491843489795,-68.01067691499196
221,-237.89054584581456,-116.77356095947286,-241.87055673551322
222,-137.36675472237516,-69.74644072755859,-46.69709514994576
223,-181.46745437853548,-88.75834553773265,-234.98036364122873
224,-170.66236974858262,-50.84913208355373,-71.7042509984779
225,-192.045417875494,-267.781123613742,-93.40005229252725
226,-46.041013146071805,-233.8647088870858,-48.076256128691895
227,-137.85464892635392,-78.14078139703241,-79.5589583475514
228,-85.28249912386518,-48.80888439834283,-54.021229539019785
229,-122.94017754327584,-65.4184707710411,-45.93285755770445
230,-57.58551377433168,-42.92660904952432,-49.47938577395805
231,-90.26165815421044,-67.78371192222181,-101.32123207170636
232,-88.83286031805835,-78.10669248634842,-226.2051171442277
233,-353.5336169694877,-68.270897701521,-68.05917011454292
234,-50.019043057307925,-107.61014681604692,-69.26550911541389
235,-143.94786763019982,-50.848963841288615,-203.4630516929559
236,-102.75437726647192,-82.40149576588695,-278.23565854811466
237,-44.35865806518008,-117.44717381625648,-68.61738058950115
238,-132.1793582068864,-45.43336859844376,-88.25351510420617
239,-64.0165029765331,-110.32668428487342,-253.63912169863545
240,-79.40503378622661,-53.9889140767018,-136.28922151564362
241,-48.67995427296572,-78.25999339924222,-75.93637082397751
242,-78.30711732488757,-84.97621609105718,-192.2222259091788
243,-85.30657261260247,-41.1694821964601,-38.61165039384368
244,-108.71868585899668,-88.72836495681838,-60.61636065509866
245,-66.83433248784314,-76.40834541779726,-82.51248953610366
246,-45.28789076144242,-87.13202205756492,-72.677043916845
247,-48.03348063835754,-192.55895671092728,-89.31348089501967
248,-79.90298282679416,-167.70822652363364,-66.4706974055193
249,-138.6068745958735,-93.42923678413618,-65.04324022090948
250,-57.63124676558129,-89.8316110587958,-142.07870024272583
251,-111.94817698683056,-53.33810310905477,-122.1143043627973
252,-49.59731060498237,-35.150698570253525,-57.93921661864473
253,-162.31997944435182,-48.71035910676292,-251.30124852022448
254,-69.46757156725435,-74.09551880216165,-88.76852354262846
255,-95.84797340871988,-226.8154311735874,-97.62268107940483
256,-36.25486022509448,-76.6350643853394,-57.83984787069058
257,-111.37707417394344,-79.23293241751558,-210.65902815763806
258,-69.26079698293917,-65.22282888042194,-72.19089613510712
259,-39.61085187236672,-72.52596084070548,-75.46098658360779
260,-83.97477615713876,-312.6721861904751,-104.42270238736857
261,-86.12116838288125,-60.77329624851247,-108.70639836904778
262,-12.955197192633744,-80.6070019321542,-55.090863419936
263,-48.38476629348035,-96.41399530616148,-52.95176289934601
264,-54.10234882154607,-63.337307903885545,-52.54726366945435
265,-78.52787691481439,-85.23355808137657,-35.07247527624774
266,-79.14860677833968,-86.90919668691785,-232.19523376029827
267,-137.75347612468906,-101.87674160423028,-53.17366996492161
268,-114.2339288956515,-75.15622611556202,-157.75769809367054
269,-83.13164224514472,-42.19228452722405,-96.02645049775086
270,-42.62036307126131,-33.47336978296752,-205.4903653157047
271,-81.15398993940664,-70.42220912368086,-34.984394621557016
272,-70.29522786316407,-75.76250860262792,-32.1842725856872
273,-99.60755205827482,-65.27646795805148,-63.881618124777546
274,-72.08694774638,-106.95516446888634,-43.32658964843854
275,-52.05996630030482,-72.26674712294829,-37.441292883768
276,-41.874617530844574,-49.67034242122081,-61.12174174828128
277,-68.23694464798324,-69.56837114225762,-30.751911868923735
278,-78.56424576719533,-108.43357657468366,-70.75733560509796
279,-209.38490639784075,-77.7215549683138,-92.29151029084973
280,-74.59116014432746,-82.92288028938844,-138.9482598633071
281,-110.72265685585847,-73.69205307070675,-100.72493792093857
282,-74.7281492551343,-127.10917553626012,-161.4832303034123
283,-52.22107739897885,-71.6355214532729,-38.78240122743213
284,-76.82877449999339,-35.56590649490202,-65.75010637522263
285,-84.68726442181888,-142.8768921997662,-99.59985901404806
286,-174.65663575853213,-42.64454800492037,-70.94923965635286
287,-77.04201743652143,-94.61207014571868,-50.36966785619845
288,-84.51734529698072,-76.41159943562769,-62.38939959388238
289,-48.21249956057681,-48.77796732649971,-43.295349755417895
290,-11.45857765359418,-34.70741384503679,-33.561242702809345
291,-34.13579891507821,-68.03894325231907,-228.5555996835866
292,-72.46401273386692,-70.37444367024271,-81.54180614884365
293,-58.76994361083679,-43.588776106273656,-64.06177021752897
294,-79.29957222529902,-69.81137978233487,-63.0670193743036
295,-71.82297879523047,-63.51057646790044,-38.53439132469687
296,-48.31900527814619,-159.23658576350198,-32.069000431680585
297,-174.0586174050741,-141.91791062639493,-59.03897476479425
