step,run_0
2048,-2.843153275921941
4096,-2.849768426269293
6144,-2.854544846713543
8192,-2.8523478228598833
10240,-2.8539557348936797
12288,-2.86023881547153
14336,-2.864176895469427
16384,-2.87066637724638
18432,-2.8718043122440577
20480,-2.874548852816224
22528,-2.8728279773145915
24576,-2.871570643782616
26624,-2.8701052509248255
28672,-2.8659004103392363
30720,-2.8645665612071753
32768,-2.8714614234864713
34816,-2.87895924448967
36864,-2.881038483977318
38912,-2.877720359712839
40960,-2.8692545253783464
43008,-2.8550131525844336
45056,-2.84823525249958
47104,-2.8489405822008846
49152,-2.842247832939029
51200,-2.8373347487300635
53248,-2.8398368757218124
55296,-2.8386268854141234
57344,-2.8359893493354322
59392,-2.841235828772187
61440,-2.8434408769011497
63488,-2.8412134937942026
65536,-2.845304028689861
67584,-2.8351965826004744
69632,-2.8187183421105146
71680,-2.8145122710615396
73728,-2.8021595079451798
75776,-2.7969658598303795
77824,-2.798773968219757
79872,-2.7997078940272333
81920,-2.7940243132412435
83968,-2.784173513948917
86016,-2.769550123810768
88064,-2.756033381819725
90112,-2.7431045807898045
92160,-2.7387198407202957
94208,-2.73799046613276
96256,-2.7206713661551474
98304,-2.710479398816824
100352,-2.706378834322095
102400,-2.702460492029786
104448,-2.7012027498334645
106496,-2.695989667996764
108544,-2.6964538976550103
110592,-2.6981549125164745
112640,-2.685991217195988
114688,-2.6767465200275185
116736,-2.6771910194307567
118784,-2.6797257721424104
120832,-2.6675457965582607
122880,-2.6545828986912965
124928,-2.6479733821004627
126976,-2.641510019823909
129024,-2.6304434005171062
131072,-2.6149112161248924
133120,-2.603510069102049
135168,-2.596077222377062
137216,-2.5891272272914647
139264,-2.5861598651856186
141312,-2.583914515376091
143360,-2.578327916190028
145408,-2.5746886674314737
147456,-2.5709776122123005
149504,-2.565008537098765
151552,-2.552798191830516
153600,-2.547810770571232
155648,-2.539839956909418
157696,-2.5319598350673913
159744,-2.5241114515811205
161792,-2.517028484866023
163840,-2.5164461240172384
165888,-2.518138059228659
167936,-2.5205610264092684
169984,-2.5162377964705227
172032,-2.5171083852648737
174080,-2.523335164412856
176128,-2.522519384324551
178176,-2.5248145684599876
180224,-2.5261388905346394
182272,-2.5145142663270237
184320,-2.5027848821133376
186368,-2.501341807469726
188416,-2.4953869193792344
190464,-2.489356533810496
192512,-2.479109086841345
194560,-2.468712942674756
196608,-2.458483140170574
198656,-2.4515765480697156
200704,-2.4418683871626854
202752,-2.433638460561633
204800,-2.4363913886249065
