step,run_0,run_1
4096,-0.0026762768440676,-0.008960759587353095
8192,-0.0156303324118198,-0.01775977519864682
12288,-0.017914393436331,-0.016131748107545717
16384,-0.0117798496892646,-0.013315512430926902
20480,-0.0128280889295638,-0.014966163306235103
24576,-0.0109580038844796,-0.011423213265516097
28672,-0.0116820220842782,-0.009363119644513062
32768,-0.0112695295811136,-0.010478124429573655
36864,-0.0132926461828901,-0.009522136701889394
40960,-0.0097944971095785,-0.00962267393260845
45056,-0.009699098387864,-0.010249387739168014
49152,-0.0103138781634697,-0.016144287325550975
53248,-0.0133313452804941,-0.0068323397069434575
57344,-0.0169061597614927,-0.010130004738948628
61440,-0.0033435681751143,-0.01133506978621881
65536,-0.0104893190147777,-0.008124309103368432
69632,-0.00712430039639,-0.0031162992125246093
73728,-0.0107371647740365,-0.012346908691324644
77824,-0.0166711970644428,-0.008451003262416634
81920,-0.0094436647732436,-0.008558005243867229
86016,-0.012995236466304,-0.011745207650892552
90112,-0.0070154521945369,-0.005266176310760784
94208,-0.0133603976264566,-0.009066165485273813
98304,-0.0092654676911479,-0.00947975248000148
102400,-0.0075116147832886,-0.004954892325986293
106496,-0.0100254804369797,-0.007290818170076818
110592,-0.0130710790179364,-0.009675447561676265
114688,-0.0115184358022816,-0.00930707441184495
118784,-0.0113659523660317,-0.008890287424401322
122880,-0.0131698201942072,-0.006858746090802015
126976,-0.0089260888900753,-0.00962526763760252
131072,-0.0081675179568264,-0.005281401879619807
135168,-0.0102296987555746,-0.009410759281490755
139264,-0.0099139728336012,-0.015504457872157217
143360,-0.0087351195847077,-0.00843818359062425
147456,-0.0134795034580747,-0.008436742241610774
151552,-0.0097681226809072,-0.0067965079168061495
155648,-0.0115586332110979,-0.012400132233233307
159744,-0.0100053150601524,-0.010359869477179018
163840,-0.0116565233445726,-0.012770591483058525
167936,-0.0111682809307239,-0.007573523012433725
172032,-0.0064583152694467,-0.009899327424318472
176128,-0.0072625659408004,-0.009959402211825364
