step,run_0,run_1,run_2
1024,-0.0155002338811755,-0.0121942689060233,-0.01127299030777067
2048,-0.0131097867852076,-0.0103834751294925,-0.020215332088992
3072,-0.0116482895100489,-0.0042212823987938,-0.014905731100589037
4096,-0.0071105628507211,-0.0237964328145608,-0.008689147140830755
5120,-0.0072857436607591,-0.0186351816169917,-0.011571713979355991
6144,-0.0131640416337177,-0.0125623661791905,-0.010653873637784273
7168,-0.008620580821298,-0.0081222688546404,-0.01019210263621062
8192,-0.0234066650038585,-0.0115990506252273,-0.009197181207127869
9216,-0.0128089366946369,-0.0133259263820946,-0.0135746777523309
10240,-0.019243125244975,-0.0088112165220081,-0.009186433581635355
11264,-0.0192840873030945,-0.0075906010461039,-0.023111563874408603
12288,-0.0139782822923734,-0.0214349964400753,-0.008183593780267983
13312,-0.0097589399199932,-0.0080052670324221,-0.013782868930138647
14336,-0.0158172398805618,-0.0104525459115393,-0.0141865057637915
15360,-0.0080928463023155,-0.0148927165777422,-0.008739605825394393
16384,-0.018433424946852,-0.0200144275324419,-0.012571827601641416
17408,-0.0103381175082176,-0.0082904990762472,-0.015341772080864758
18432,-0.0177630364894866,-0.0026291754096746,-0.012114947335794568
19456,-0.0146692808950319,-0.0067045950796455,-0.014443699060939253
20480,-0.008032200532034,-0.0219627026002854,-0.02178214464802295
21504,-0.012743712333031,-0.0179382821545004,-0.025018928456120193
22528,-0.0120899894507601,-0.0084291005972772,-0.013667479064315558
23552,-0.0138799709267914,-0.011707839067094,-0.002212837361730635
24576,-0.0092972440994344,-0.0034397903946228,-0.011625288869254291
25600,-0.0128407916752621,-0.0062706875498406,-0.015772140049375594
26624,-0.0127292449818924,-0.0178938752971589,-0.006151411239989102
27648,-0.0140120623633265,-0.0167760286945849,-0.010603614267893136
28672,-0.014837627869565,-0.0166471552802249,-0.010278336761984974
29696,-0.0070315416203811,-0.0077021533623337,-0.01789356953231618
30720,-0.0094875283539295,-0.0132489196024835,-0.012052067182958126
31744,-0.0201749552797991,-0.0027702887542545,-0.012547613866627217
32768,-0.0090753560652956,-0.0083242362597957,-0.01778348102234304
33792,-0.0130899887997657,-0.0086090908152982,-0.016921811201609672
34816,-0.0071270144660957,-0.0184561663307249,-0.008701774850487709
35840,-0.012073607975617,-0.016629396751523,-0.009442326717544348
36864,-0.0083549830596894,-0.0093098121462389,-0.00772556362207979
37888,-0.0071239671204239,-0.0131510159466415,-0.005830873525701464
38912,-0.0067457538330927,-0.0076421758392825,-0.004729351261630654
39936,-0.0131535133346915,-0.0087807241128757,-0.007850652374327183
40960,-0.0067396103404462,-0.0064008210087195,-0.011161148792598396
41984,-0.0134723016992211,-0.014931974816136,-0.006239237310364842
43008,-0.0179567133309319,-0.0079271159833297,-0.005857655394356698
44032,-0.0081395474728196,-0.0113816799363121,-0.013901539938524365
45056,-0.0137151908478699,-0.0087952295551076,-0.005705444049090147
46080,-0.010895642125979,-0.0090982025023549,-0.010006769583560527
47104,-0.0090574812842532,-0.0095321900444105,-0.00573374021332711
48128,-0.0109823833336122,-0.016557823983021,-0.005393241345882416
49152,-0.0103575848741456,-0.0091834824765101,-0.014520348375663161
50176,-0.0116049252683296,-0.0118921583285555,-0.0039542121812701225
51200,-0.0054467175155878,-0.0043894365197047,-0.0070876980433240535
52224,-0.0109035954112187,-0.0049780226778239,-0.004517419706098735
53248,-0.014557240717113,-0.0074052940821275,-0.007140794210135937
54272,-0.0105015474837273,-0.004039110825397,-0.004416503710672259
55296,-0.0074272317579016,-0.0125899025006219,-0.010997458384372294
56320,-0.0091994872549548,-0.0067258487222716,-0.00632073674350977
57344,-0.0097369581344537,-0.0060229298076592,-0.009524501243140549
58368,-0.0108292038785293,-0.0127475437009707,-0.006340835359878838
59392,-0.0103829241590574,-0.0077859254553914,-0.008414455968886615
60416,-0.0175827821018174,-0.0075807319954037,-0.004277150053530932
61440,-0.0116286343894898,-0.0050188389606773,-0.006387567240744829
62464,-0.0140250728698447,-0.0061524839838966,-0.006923798401840031
63488,-0.0101702882675454,-0.0081338176503777,-0.005924557731486857
64512,-0.007539416453801,-0.0099558794638142,-0.004257506842259317
65536,-0.0158034758409485,-0.0097383868414908,-0.005816853023134172
66560,-0.0096295724972151,-0.0045284156687557,-0.011028157942928375
67584,-0.0144056174438446,-0.0052831470035016,-0.005093932477757334
68608,-0.0112624695058912,-0.0069209007080644,-0.004885739530436695
69632,-0.0085744709125719,-0.0111425490002147,-0.005677106243092566
