episode,run_0,run_1,run_2,run_3,run_4
23,-150.451906962731,-126.78107270290172,-129.1319452864272,-137.2265113917314,-169.5941744010841
24,-155.01973987728468,-132.1736958475934,-181.88015275288444,-121.6457444905814,-158.52633175761576
25,-118.3036058087338,-44.35248102717922,-139.57894654402784,-143.1467203620586,-121.81211138194831
26,-131.73415484231904,-185.7611682883033,-202.9031474118816,-154.88476281702185,-183.80289698295957
27,-182.4286906790097,-147.89073443719235,-161.0587156103361,-175.5595594182452,-121.06618456794156
28,-199.9002774152466,-119.43356112549075,-140.62087146764355,-50.8178620304386,-123.75417961154167
29,-151.673754151622,-126.60846599507856,-133.68978309034082,-171.38860951894495,-146.42629725004804
30,-15.784849959388088,-23.24886720432645,-110.42673053761982,-126.53020357381148,-126.90846579669756
31,-204.1752194765212,-38.83350579108431,-133.13660934286796,-134.09769804948075,-195.44626678776388
32,-37.05164951712866,-149.99469614886084,-334.1731348873824,-180.71429743047736,-121.04941581397145
33,-188.67800756626323,-171.41378825549305,-131.87713286954843,-171.55609214013984,-133.8391098521651
34,-147.6058562636385,-120.74868598196932,-138.5037735599109,-172.868192197418,-129.2489357477731
35,-124.58476876175224,-135.22672502901764,-116.54510021351985,-175.3529937758488,-166.74546495771477
36,-148.6838650469253,-136.59190924538552,-155.9552022667336,-131.84482813820162,-166.6855848096818
37,-166.14205014343793,-119.37754672399667,-150.14817303201613,-147.2245080337806,-119.2484340699695
38,-145.3854063105997,-120.1965972434885,-171.1170622521954,-125.84283347171376,-170.00987203652045
39,-155.41027903918342,-221.1967200075628,-194.9444389454496,-124.7180962432951,-48.15675072522799
40,-114.69377739904672,-116.19232341198274,-134.69008261453683,-212.84065023308145,-196.99799658860195
41,-116.8225259619312,-251.72652321859485,-129.6685530607549,-130.07459693779614,-134.3610994756661
42,-147.5488612588258,-13.011378898744969,-158.23713797375336,-166.7350699732791,-130.5855159349769
43,-26.83718506625649,-116.17343877505895,-112.81795247090103,-131.01237622184684,-133.05176604819232
44,-128.0440437875034,-158.2282895690646,-130.64599746414913,-134.96362486124588,-178.36960603478389
45,-133.26796615121046,-151.20444378694316,-120.99061328640924,-120.80683429316376,-155.47927600576372
46,-181.38415787030263,-161.37314950811256,-192.7193410763536,-121.44704050077048,-41.33681157899943
47,-118.12130732360158,-115.96229679329493,-142.04885937613494,-140.28422500548515,-171.5054252807042
48,-204.86848498209145,-42.18844143728137,-176.14761076843206,-134.333029866785,-149.85043473884318
49,-129.6355962002369,-120.88874435732042,-133.75508947752547,-158.81427522399173,-145.63228177603574
50,-151.61731986175042,-69.84111317317478,-125.95757014415835,-130.97888859695317,-217.78578576724476
51,-159.40267169553334,-122.22179910536336,-148.57800696372811,-167.4521774295083,-167.86497162934066
52,-166.7480345613095,-115.29837236160056,-56.624935295704056,-136.27785763160213,-135.64418144312737
53,-161.73402244206122,-172.8206618724958,-140.04085405363207,-135.00971246615038,-159.97554280704512
54,-160.99751709056005,-153.1013676079843,-122.78677932379492,-147.03264619748248,-133.03126470576632
55,-190.6074624752548,-156.28679735118806,-218.1811344175437,-137.59244258855617,-123.60030236552859
56,-33.35757051563963,-138.23103104553715,-38.104302780049785,-156.67248709245663,-138.05107069453118
57,-151.7477063489036,-145.2413999895668,-160.13361633901008,-156.01596887286985,-132.12339382053233
58,-147.08222817388543,-137.73991715182663,-134.86155979294634,-118.32127873866771,-111.84103206208417
59,-147.02419849354686,-141.82099170043105,-123.03366526309463,-122.10419911573986,-124.70272077052621
60,-154.34377604977817,-149.19597676654615,-118.88881896520532,-136.37250385592674,-117.07061270632511
61,-194.70677387387923,-128.3350448313649,-230.9246070018532,-155.9507394370211,-15.427432234175644
62,-199.988776447474,-226.5535411809172,-120.51101411286196,-133.32876051634096,-137.84397676682002
63,-28.837344193457906,-225.3221390857105,-124.80616808036692,-124.29574968213711,-118.90049834759643
64,-143.80932400407917,-143.05120466632667,-167.07484108673782,-149.51821450548547,-119.00045681443083
65,-117.58709434094024,-135.47915045923307,-133.82551579253175,-161.26416137334604,-143.35945725346758
66,-16.521622465855224,-141.41974838583957,-140.2133745267936,-220.6393926294192,-147.05119191265015
67,-134.42634504091544,-134.7890344926952,-191.9944264900641,-141.13621930544684,-137.3093106884781
68,-17.23899169611909,-151.4633405115247,-18.67108267349225,-177.80251557927232,-128.142589483934
69,-149.3053252829855,-139.4490801172505,-134.30533454809927,-48.59760422719816,-11.825513120758515
70,-171.5555040956979,-147.81585677938256,-133.35164527495073,-112.27287111308708,-167.82615264110598
71,-130.77319208471084,-206.0677097167797,-157.06674093709967,-157.08099884778264,-141.9105590384301
72,-117.91632966607132,-202.6429315860053,-147.43216001084045,-112.47384737899476,-186.2467631410862
73,-149.0634471957174,-222.16811917661465,-138.71618713663207,-158.23762716456275,-162.56169001815752
74,-151.20665573441062,-88.97798270643433,-38.23725252755087,-22.29129660800541,-275.89267875338254
75,-181.5411419674737,-128.33212630572143,-33.25076883603193,-131.91944316320266,-182.62908650050616
76,-162.67281635270749,-126.49169823788944,-169.7138285845341,-147.45078855068616,-143.84313128488776
77,-184.52609411903308,-66.5059799361013,-132.50145656060238,-120.02344173891922,-131.87740818364514
78,-138.14009925005868,-265.6765388723063,-127.18449488555984,-178.4746696530113,-153.2716560959908
79,-146.52628434338203,-155.2521567018098,-139.7330753564058,-153.16622360710238,-198.11890760019526
80,-118.63508036553324,-280.8192291528306,-165.55738742170155,-153.36455481296662,-174.11579854352743
