episode,run_0
0,-133.8528611350057
1,-60.618415921488456
2,-130.12574999919008
3,-76.79187480090957
4,-73.13115891960771
5,-67.81939254909017
6,-60.881938523269596
7,-153.34721426762684
8,-49.29476627584792
9,-53.34462264768803
10,-60.31104579230177
11,-67.85900344298582
12,-59.00405789423435
13,-50.43464999017214
14,-94.87988030959858
15,-70.19116698102306
16,-57.29093195053407
17,-119.94590602592359
18,-79.34320714651744
19,-68.37268370194491
20,-48.76236692080285
21,-124.644565901149
22,-175.4399543188468
23,-62.12599350979552
24,-84.80783227868721
25,-55.50398432515878
26,-59.059865095311494
27,-64.01935068606178
28,-48.755521772607466
29,-118.88287430145749
30,-49.405174484957435
31,-85.99540764550076
32,-95.07227964820885
33,-62.26090205840739
34,-100.91118639578232
35,-103.5330557733812
36,-115.06076469004074
37,-134.4594292335964
38,-124.69260644327542
39,-106.39934111776827
40,-94.94420270720764
41,-96.77855426854475
42,-60.68728971064068
43,-59.410236629501924
44,-115.02794495949814
45,-88.7125150366486
46,-79.9560896910955
47,-78.74147010902055
48,-75.8383754445727
49,-66.80250163512547
50,-129.40450918629378
51,-101.39413010050752
52,-68.84985975795172
53,-65.1969360289683
54,-86.84772320200986
55,-123.12645315664022
56,-225.48644919417012
57,-123.61884674615604
58,-67.77402267412114
59,-63.08581343880792
60,-98.22468601875929
61,-110.57967184043486
62,-47.98891854892214
63,-67.91275723040921
64,-55.665615024643046
65,-118.3252141083462
66,-82.09673491518977
67,-91.72545031077988
68,-81.04966702326169
69,-72.91197756122305
70,-93.48606998502021
71,-67.19080519395891
72,-56.120233597048234
73,-122.27995882766268
74,-106.26359534527006
75,-233.6371877115863
76,-110.45445522746591
77,-142.45915246876405
78,-118.06192496736244
79,-51.14630620144872
80,-144.6567716001331
81,-241.00149496523917
82,-103.16340478311466
83,-153.03943617069154
84,-129.06897085163973
85,-106.60548711854423
86,-104.75010234559572
87,-57.30627809104642
88,-182.5329608943311
89,-103.13850242822251
90,-238.41245509575836
91,-72.9028673242113
92,-118.37214149185361
93,-191.32220067022683
94,-175.05072268297576
95,-118.67115357422715
96,-176.85262482818294
97,-176.85224151809476
98,-84.2116758119285
99,-74.2119644580408
100,-96.44385760747454
101,-216.55228289543652
102,-170.86780552233964
103,-169.57622887371454
104,-88.33773203139879
105,-142.3173811321501
106,-187.36565804402738
107,-53.81602022003338
108,-278.4182690627261
109,-182.9688542873133
110,-203.20446021015115
111,-67.54312928569
112,-202.927651206025
113,-150.2258103773344
114,-206.45106026113623
115,-286.00948719434143
116,-198.48603218843448
117,-57.03885259083502
118,-91.31619843745602
119,-69.50573084156008
120,-91.86141920513823
121,-227.2923147485575
122,-256.9469466993888
123,-154.27888673407546
124,-125.50489836306639
125,-151.77152191853136
126,-177.26563436697126
127,-64.74263928432202
128,-146.21191593469402
129,-91.20883847571753
130,-109.99941391296875
131,-131.46212799372074
132,-111.32449916092963
133,-78.9425361885275
134,-89.75886463484743
135,-127.10304537814801
136,-185.0516849276256
