episode,run_0,run_1,run_2,run_3,run_4
33,-109.37274814819884,-139.81642564780853,-52.75358986745208,-70.77068195456155,-45.68028639436743
34,-116.32976992304155,-75.39921721549469,-109.15623037417146,-110.38399703160748,-59.87230210096597
35,-65.65274351910355,-47.54224553773561,-126.32327924949097,-165.08038830316517,-111.67778050799808
36,-58.13652287393064,-75.43070209603044,-83.98782486549183,-64.54832568759753,-142.56724514818274
37,-90.73218625884732,-112.29543820121314,-104.18740972847873,-70.69437707085557,-45.591092177799936
38,-46.702642650232,-50.55067569535053,-67.39985411300151,-79.06165194709217,-73.68471056636494
39,-176.92171832062584,-174.36702124963728,-55.25499338839813,-173.2958370387414,-84.81470195860288
40,-122.85186425034502,-64.42865402824104,-68.16402690088064,-76.54911224281963,-109.9538667971243
41,-85.73906831098294,-62.2690008282905,-46.04122044363057,-41.59108094617805,-64.94911210357412
42,-81.42049788205415,-112.05716397498344,-116.52513841737547,-62.52653562469147,-75.01137361221043
43,-57.76175043941389,-57.77460590893877,-55.35102785937895,-78.17788889985472,-132.27845555424688
44,-90.89237761549865,-97.63222639843566,-78.29557975972335,-73.58833279919735,-118.16932532804684
45,-119.04321386713866,-65.73558219478167,-66.54975701085633,-76.66666301030138,-66.06368180920668
46,-134.2752870264258,-126.5071047727728,-135.19143982860177,-101.39537591051317,-96.31232350142413
47,-46.21301095834323,-100.45794326315584,-96.8023366562538,-95.1260676953168,-95.50145424257906
48,-74.06000668352755,-82.58458846065264,-98.71735134152104,-58.85187827776642,-82.3537642378863
49,-76.85807471137373,-72.12959089011457,-73.12592917267145,-108.64981659246212,-144.82477364202742
50,-72.3443880673749,-60.57586496090661,-49.288401420166224,-97.58636064607254,-108.26350507074099
51,-53.57832713022872,-84.31310903713393,-76.41697123948381,-64.9595946478089,-115.36940254051844
52,-49.79164905863979,-59.35464811837295,-119.14438787701454,-91.80503370942918,-159.19628086569082
53,-86.62194582948771,-152.67080194737534,-94.8680582624736,-53.997185181666886,-180.45584137025088
54,-138.02567174219183,-94.93432381102852,-62.0635389593059,-78.91741002262471,-70.80592759128034
55,-58.09539457675873,-109.8823199779579,-52.40121390956016,-79.82714250072871,-101.10086138879204
56,-153.86477322085756,-169.5058583769517,-63.71122641541086,-64.53258132175544,-133.00054522041586
57,-81.78592460466882,-51.225829658202215,-93.96530227336568,-74.07283126578776,-97.12651098143684
58,-141.7420652375494,-84.70114897870764,-74.80089157484045,-66.67834060660134,-65.12612400558004
59,-83.17155220585472,-82.32989452942184,-102.20414572806888,-80.61832614183226,-93.07738130310224
