episode,run_0,run_1,run_2,run_3,run_4
147,-57.24629787045316,-303.08664285219226,-128.23904667088024,-273.69420267493354,-129.5327349192701
148,-163.0344315492689,-250.74431384853008,-156.73037694173104,-76.18439209585517,-132.74837601239693
149,-174.15339544686043,-180.8692514734633,-133.99966075102122,-71.77705629927347,-141.77464102466828
150,-232.64546005878933,-111.30997048390088,-239.83809481484369,-118.54045393667477,-89.43852821802656
151,-133.8132881231179,-46.18011766616214,-122.44012930779516,-126.935339129055,-121.61960050774836
152,-289.6480919517203,-151.49954488252968,-238.55909838675345,-146.91873326663716,-85.44452838732505
153,-256.98689552732884,-183.0154568106768,-126.11534363079824,-114.90079267179225,-135.70376175509813
154,-247.4179807306984,-124.86948682391588,-59.59357977984124,-100.11676051162286,-250.23547419891332
155,-69.58806160815948,-65.1165983352688,-131.39251007963892,-80.4715030488332,-276.825926709913
156,-219.19634264971097,-258.9869311805846,-42.15544269426388,-122.27200317593817,-203.708518393481
157,-35.90627784946799,-123.64832487067382,-116.14987477559028,-127.2444579496834,-119.33202450506438
158,-263.4493549157749,-180.7146033985101,-72.97472599597353,-64.66530675346068,-161.9396716407372
159,-123.59948364368276,-112.53333328749436,-157.02619562211507,-54.680497950938815,-106.12656131495088
160,-289.4827283641765,-167.49174006434427,-233.8783323331361,-119.85025042482306,-71.78429303724687
161,-201.8387055082244,-163.43182896159544,-124.84507387290547,-147.92724636509806,-196.41295722423888
162,-262.67331381581613,-58.440820926482985,-209.02911022505555,-111.69353293204072,-134.7638997409271
163,-195.05207450258496,-116.94902549731216,-177.30188610390184,-71.3909207443026,-120.64856444854628
164,-224.53200005782853,-200.6537695933619,-120.52458395939358,-152.23923386660238,-53.689703405052896
165,-77.16117229429841,-145.0593031041333,-234.6735248025273,-73.84354222093924,-178.61840370994835
166,-227.15740085014468,-107.61723776166696,-104.55245794901806,-107.4530398565372,-172.97401796477257
167,-74.7529021353499,-107.2643672512517,-237.2298479737865,-118.97589976192508,-90.84465129629373
168,-91.77559679244057,-127.35642110728313,-133.26236147944903,-70.30286404548059,-60.243036493763995
169,-222.00974856151964,-98.10749338415684,-293.13019698068524,-132.06210546369434,-135.42443430018727
170,-207.740485390378,-53.25915152584165,-106.10701738007968,-113.01606476735492,-84.15444735833495
171,-252.5714208798261,-257.8994676045043,-213.71201658870888,-110.30450514360932,-114.85896904564945
172,-65.56545651182824,-55.54945821247314,-57.33660144322916,-120.0759825741531,-126.55700039004194
173,-215.5324329768728,-133.97252823400743,-164.0849514896274,-74.24185052247849,-92.35120971641113
174,-216.51529486319663,-129.97748439394366,-220.7594390256452,-66.47977490580513,-142.62243605737663
175,-135.79969747673923,-72.52677708368283,-110.3302478658096,-64.18317036131099,-62.74812529449359
176,-63.312067128556,-112.76063598203014,-124.71746523695316,-99.33712395897145,-82.4782705828369
177,-138.33379191500384,-206.06986378080333,-184.9014896635359,-62.79735701288861,-53.12605186318193
178,-216.4460224776801,-64.48537834014355,-113.78228498098272,-112.99453443161715,-157.12954861410458
179,-67.29625754752499,-135.17247827577344,-150.2173695617014,-68.84767460222943,-176.35698190346204
180,-198.28799184588507,-104.39112853055948,-204.41664573108832,-54.37585283697268,-52.209108893098744
181,-227.2238017329052,-196.58455261815703,-54.545121378372045,-119.68561790330442,-144.91070749287232
182,-70.33878279242734,-23.749192219200435,-150.5488431277371,-104.81310556232626,-74.98848915212022
183,-203.2792137736754,-138.25973024828772,-167.00701676486253,-114.2436551986778,-59.27418793597088
184,-241.09166719076387,-101.19050884634498,-147.4065230776698,-135.30627707971377,-244.78385073480965
185,-249.6125897708483,-256.734063777311,-66.72225677749246,-53.26283759126751,-105.91612570469205
186,-68.67612865741748,-180.2834069419058,-62.124671276995926,-65.922153443045,-117.17081066236352
187,-130.6869650112209,-161.84809716521931,-152.89804226722217,-72.81686310652957,-138.5857831138686
188,-205.676061853814,-166.74567022757694,-66.19196599364882,-179.93705317394313,-120.34861886885682
189,-117.77701997849354,-184.1083373360678,-156.04917831044466,-202.65806537954435,-110.98275932924535
190,-62.53438858668349,-121.3210293178348,-121.86667901776106,-70.2817986508353,-75.69714834535168
191,-71.3503179672023,-283.7755110889097,-140.3839626532299,-64.31097502616461,-77.63082979231206
192,-210.1754196337894,-171.9766328632929,-151.55564277081686,-113.98777814380658,-57.16925712063126
193,-73.02251590974112,-94.0713876965318,-115.8364162508476,-51.15020819431933,-126.69448924478468
194,-210.98847882158367,-281.0427327544165,-141.23666527471744,-113.93563448443057,-88.65357074467104
195,-52.2883017651978,-141.16110374559514,-65.34150901733821,-129.90864369731025,-55.077830068556906
196,-213.15797795117493,-95.4433612324853,-112.14425248545112,-111.41214727739349,-134.6602517924322
197,-136.68375213129804,-70.26000991170798,-64.45421084439828,-48.09994340165882,-73.0098564910694
198,-60.576231301883126,-66.66949468945487,-66.71351225199132,-100.96587023349242,-142.830941772656
199,-66.2603801325575,-113.58552584818058,-110.76502519410764,-110.62422352975284,-141.124597730547
200,-167.2776565909939,-64.04399532955182,-224.5438761857025,-61.65601193192168,-123.67257482144662
201,-128.98044295000636,-148.91850667680092,-118.48128273830606,-54.23816920487855,-121.45006342959425
202,-62.13437487584241,-156.45991001225048,-59.25316994458166,-67.93019938303284,-154.1129541829275
203,-153.18533170077717,-130.3695039463271,-195.4328337458812,-105.1866886618217,-123.01361136459845
