episode,run_0
0,-53.42177595112865
1,-102.56015051017428
2,-206.60217206417605
3,-129.00932295555822
4,-68.39271570157433
5,-57.97106800833134
6,-47.3473923656703
7,-73.23094871366362
8,-79.24851976315878
9,-187.6308564550369
10,-129.60451240769697
11,-109.64426388842924
12,-60.798376592007486
13,-49.33683055595496
14,-51.499338102304755
15,-145.27220289043387
16,-84.96122315557156
17,-108.70596101689688
18,-116.9893783233822
19,-147.48867317249506
20,-106.35799400295302
21,-110.51947465280496
22,-83.0560724890635
23,-150.3667536929971
24,-95.04426945932107
25,-176.83633008315704
26,-53.16038756628484
27,-319.2666853999221
28,-110.52100715010475
29,-53.020710656573485
30,-95.55260454445087
31,-93.77802710121175
32,-67.6637417124121
33,-113.54537707073357
34,-62.476629402269864
35,-81.40978156326787
36,-97.28570864325121
37,-46.55281447326854
38,-121.22247913786387
39,-66.2812105488421
40,-115.28281000218418
41,-254.41662749853182
42,-77.4405145093173
43,-53.619443532949745
44,-108.20365349542853
45,-106.21770943258932
46,-56.29688268255254
47,-70.04641098994327
48,-112.57674037628122
49,-52.137141931330966
50,-43.36876254682889
51,-69.95097731893084
52,-57.006330056763
53,-128.8895121047778
54,-72.00715845306343
55,-82.37027671211948
56,-95.9426288506452
57,-64.31337016413254
58,-82.53173636076463
59,-82.06157062140592
60,-48.06170149171668
61,-62.033271809808056
62,-65.20895125515608
63,-121.98822114189474
64,-128.1125343642848
65,-50.045828959656696
66,-48.19404079488967
67,-42.50599270147237
68,-54.60564774878917
69,-46.09010844988936
70,-69.09005880185131
71,-105.13644608564925
72,-111.14838984727149
73,-68.4104732552941
74,-74.44567061247011
75,-196.57474545080495
76,-65.03407480497967
77,-82.28900246179376
78,-45.21013015124755
79,-62.6316433329604
80,-48.723437081433524
81,-151.7331012629952
82,-51.87605439655738
83,-64.39365241351352
84,-72.7604269231102
85,-78.73002685003085
86,-70.86126869790493
87,-99.19473862557805
88,-81.34417134898555
89,-41.43689975764669
90,-58.61344488234603
91,-252.36854505191434
92,-75.1129379782378
93,-75.43850930138092
94,-77.35830435199829
95,-61.467463040751696
96,-53.93482533312745
97,-145.25158494771307
98,-14.629318912608825
99,-68.1666258422113
100,-92.17006036806313
101,-87.31675406613536
102,-75.06017916378659
103,-83.52010263702599
104,-73.92309826921415
105,-101.70707205665745
106,-276.33339838322917
107,-61.22374717504806
108,-97.15563234010685
109,-103.6440645477334
110,-96.61545046009903
111,-53.05257539698992
112,-78.0672775210291
113,-118.90253777475645
114,-87.66481317106813
115,-64.96948901624418
116,-123.6670697223986
117,-67.67660802909073
118,-70.12538057280089
119,-45.972604647209295
120,-122.57536053523494
121,-106.95878360929892
122,-87.54225089172546
123,-43.371544298829065
124,-134.10735631183016
125,-43.87112884861909
126,-72.48033775334025
127,-81.6581518899049
128,-93.45333443659293
129,-59.157017357279855
130,-35.26444938513042
131,-129.91099641422082
132,-55.21100715921394
133,-79.97764050183056
134,-304.12370396171104
135,-71.4356632628992
136,-112.40851717310008
137,-47.136736567079204
138,-44.47946733668887
139,-45.89701539075777
140,-155.7000532446182
141,-44.79693186633341
142,-262.93825373385556
143,-69.19085628264932
144,-92.60495467466899
145,-64.07249190927686
146,-118.99661214640595
147,-131.48455544716506
148,-65.71316082121314
149,-73.87056827848264
150,-73.2837737283514
151,-144.56338330023664
152,-73.07502221306734
153,-68.75033162559215
154,-64.56269188240523
155,-65.37429031638816
156,-81.96131590454166
157,-73.40245129143341
158,-80.66371026626325
159,-292.21050040595213
160,-261.1681407967007
161,-66.37368183703703
162,-54.816259672508664
163,-78.80498351017508
164,-266.83008731734503
165,-90.1160153658451
166,-29.45607168250308
167,-32.386795129771116
168,-77.02511979538767
169,-70.4539811152498
170,-35.05328782823341
171,-100.73473476349966
172,-40.83767634153487
173,-32.05298759481669
174,-115.01070150730699
175,-115.71888101528904
176,-71.71075026013722
177,-76.21046763805919
178,-71.15293259132669
179,-78.29847962639755
180,-51.493376741199185
181,-48.06620726681728
182,-54.01855473130774
183,-231.48440476445612
184,-35.09255805499788
185,-72.9258046035928
186,-35.381268917256186
187,-70.57669346070969
188,-73.2365859750117
189,-234.78487347162303
190,-41.64052785144547
191,-106.01749462556782
192,-115.31323739533642
193,-74.00314630705586
194,-38.60886922215775
195,-85.47432234867276
196,-44.23598644159033
197,-197.51755056871377
198,-48.19216976165469
199,-67.53601727650032
200,-60.45328017332693
201,-34.67878048596166
202,-49.89322941361441
203,-52.97239505801271
204,-62.70294300034773
205,-51.32668478799997
206,-90.01267778117747
207,-66.2758408058105
208,-69.02685157728308
209,-10.814937186119325
210,-73.69278885414025
211,-33.26180853888829
212,-51.43174465539582
213,-37.541546225560424
214,-49.53120764257701
215,-92.23613263193616
216,-75.80405672810537
217,-77.48786205581737
218,-32.529333774714615
219,-257.1058762011032
220,-56.72702296868948
221,-57.09459104753482
222,-63.93533936829846
223,-73.49565805330617
224,-45.56675121601724
225,-63.45337889734455
226,-123.09005592545569
227,-35.23235777136183
228,-72.88333884917142
229,-80.11453176727203
230,-67.65884934561835
231,-62.929276508033126
232,-45.21808980414126
233,-105.9487983628683
234,-69.20259928859755
235,-110.55133835838062
236,-57.917047087217
237,-53.532439860122366
238,-70.62525821742366
239,-101.03866072105434
240,-35.68063239622114
241,-85.53528908906816
242,-177.33072371241005
243,-31.736793784544915
244,-40.07887378712369
245,-103.85884388606192
246,-70.6084702050812
247,-51.54995523724109
248,-79.4348313607959
249,-37.934678535937316
250,-76.53676093552785
251,-68.99984779807319
252,-31.875357070465185
253,-84.7683996478648
254,-66.98494720777602
255,-31.311364027734264
