step,run_0
10000,-413.6877271289277
20000,-260.8834937874202
30000,-74.59445081519695
40000,-428.6320224394718
50000,-85.58707337251911
60000,-47.76156386451294
70000,-394.6765770650591
80000,-69.9254373393755
90000,-392.9988100455736
100000,-46.04085348983107
110000,-63.4810114830488
120000,-57.13469732077156
130000,-62.685850906309895
140000,-45.518621352827324
150000,-43.65583658699932
160000,-35.429095718585515
170000,-43.159036978130835
180000,-35.002450455993696
190000,-62.71849306013467
200000,-99.76960872919707
210000,-42.48106937475639
220000,-62.716557913197015
230000,-399.1829791827886
240000,-43.046614083473
250000,-63.797505074162615
260000,-43.84404342509547
270000,-381.08618666564104
280000,-369.7445774098062
290000,-35.12691313100767
300000,-64.534865934256
310000,-33.56861485214239
320000,-43.52310305871429
330000,-65.02554514973103
340000,-61.8844170995928
350000,-374.61604540073955
360000,-62.72202518694175
370000,-43.1478668705832
380000,-62.72176931767731
390000,-35.8308537333573
400000,-70.38225586646583
410000,-29.18622763243971
420000,-64.2452830106797
430000,-30.832853978273675
440000,-43.208231599125114
450000,-370.68110568987487
460000,-44.364352527667556
470000,-61.884853289961484
480000,-43.82508721331235
490000,-374.105224921004
500000,-32.23833772350346
510000,-61.88356024515103
520000,-43.4068471675401
530000,-42.9058584710026
540000,-366.252229877769
550000,-32.75718745099325
560000,-32.45843131706668
570000,-42.5203806247286
580000,-42.705174246366845
590000,-366.5842379613806
600000,-368.74608726553737
610000,-42.83995826615204
620000,-72.46551184866377
630000,-29.30351561107431
640000,-29.56647649897193
650000,-63.72682484094429
660000,-27.373048574300995
670000,-42.51931602268589
680000,-63.69686082239615
690000,-63.71568794387428
700000,-28.2317287791844
710000,-43.645699348145754
720000,-28.050732247677935
730000,-61.880800512245706
740000,-65.18778898821328
750000,-60.015220319923415
760000,-60.77613038622148
770000,-43.39606762634131
780000,-63.881979118905974
790000,-29.609614467645816
800000,-42.548955880581794
810000,-42.55432698888919
820000,-63.8769386052072
830000,-42.544853331503184
840000,-61.87642552752044
850000,-63.64579875143974
860000,-61.88435790690774
870000,-28.68574311016438
880000,-28.204966555298082
890000,-60.16494872533782
900000,-62.722092614978216
910000,-30.32256347177632
920000,-63.636950102215195
930000,-59.909706570606275
940000,-43.572136031365105
950000,-63.920075670706666
960000,-63.9129747652874
970000,-27.069097104974098
980000,-27.39975028148352
990000,-64.1987041735758
