episode,run_0,run_1
137,-78.03182330124193,-162.41752643412127
138,-79.39085156783038,-101.04419180379304
139,-86.12033072176192,-104.75764865912231
140,-85.90788925591029,-119.82427970015044
141,-72.62726791046634,-53.933896323475054
142,-73.97359744827573,-62.87290941246893
143,-103.8555101104416,-45.785893125792015
144,-55.24577330481086,-82.9973094114448
145,-49.75361770935445,-159.3339701155071
146,-98.36629251194972,-67.8482688457936
147,-83.95752164519041,-142.10747332706114
148,-52.963231562056265,-114.419855914408
149,-122.31238322217423,-76.68240767961268
150,-94.1578472535622,-80.07806002478165
151,-129.3330792596038,-148.445604014377
152,-73.56350124903472,-85.65798773594588
153,-81.5375942783235,-106.30502403379097
154,-63.59763188051407,-112.43090674535127
155,-60.50656234563497,-302.3537991044433
156,-83.86366629350965,-167.05117707598384
157,-116.58259649415442,-230.30203258039148
158,-154.59283748559974,-95.21037289675712
159,-298.91629051517333,-236.22737744322473
160,-96.04474617460684,-128.53754715018846
161,-202.39295029085235,-217.4717431909092
162,-92.74983374014082,-64.0026656869942
163,-96.55828070844863,-242.22501998396655
164,-58.19828061795374,-95.62345425931412
165,-99.60725989843016,-364.79540326549295
166,-73.88239386836258,-168.3605043199279
167,-132.20044203920523,-151.51001134336713
168,-108.65983023046236,-171.91375277249819
169,-188.7263093585401,-181.63162318038508
170,-40.14030773869735,-283.6202031921256
171,-79.45236856517832,-244.1132810666543
172,-79.38208435138296,-105.9473314335827
173,-149.58991217600553,-129.9476559251038
174,-98.48375880973056,-49.96185806402458
175,-99.3570588795714,-49.319619627105965
176,-57.56181079811161,-119.81531179193212
177,-115.26364275792164,-308.3789952390699
178,-92.86955046846325,-253.8252906527254
179,-70.11568059495252,-76.76745338079888
180,-126.3552885695062,-122.1606299748265
181,-115.68645111092586,-188.82018601605407
182,-125.1107899976178,-84.49049179641938
183,-314.24901012748467,-209.7573883915471
184,-182.9965411341925,-54.529169195425254
185,-185.92173584811195,-45.89785557714573
186,-211.2341443008066,-74.15933765025449
187,-127.87120572741924,-308.8783507265853
188,-105.3698322109785,-263.54851217788644
189,-243.0308026855169,-421.32544384241066
190,-333.5567253850033,-109.14312077737887
191,-83.28405519228386,-218.7296497118138
192,-98.10494931511354,-115.48193005730391
193,-206.9502768652171,-97.08050637549408
194,-60.54125543454939,-76.63770470693407
195,-304.6601409209422,-137.35459287900989
196,-173.8615278518891,-314.3762789355691
197,-87.43082699252379,-147.5545026919737
198,-81.22458472171277,-233.89194261005974
199,-71.1965992425005,-279.52842163930046
200,-80.83739689179922,-325.65040240738125
201,-48.81393862050939,-84.85639700622875
202,-108.79653324023022,-349.22327524139405
203,-45.67778963085046,-369.34492652457715
204,-237.6286725172131,-249.3204388143716
205,-243.7913285749084,-172.19764929859096
206,-179.82617534058323,-248.33537035209747
207,-293.83148114144143,-315.3818038340873
208,-75.61935830663674,-152.95923575295777
209,-53.96810385106232,-144.703772083903
210,-76.59192899298341,-214.13640906301285
211,-200.4379204018055,-155.79514694679244
212,-67.67563511271685,-312.20765553769337
213,-89.93769450986593,-173.75827538773387
214,-278.11230711400697,-257.5547251869002
215,-98.97009130611904,-161.39172248743245
216,-230.98379161085663,-246.16242987267435
217,-72.32767509703757,-261.05621148042263
218,-93.72914837112842,-365.00774777675036
219,-64.82762573505951,-177.32109890919708
220,-163.4478980915584,-157.02954376085154
221,-243.0531718631041,-149.9248097270746
222,-153.23750071668934,-225.15836589526918
223,-164.66767366727032,-183.42517553791916
224,-207.87715982240587,-308.2593488723667
225,-129.42498086830722,-244.74136847442557
226,-160.26920649994858,-360.9836706308229
227,-238.7579162377628,-247.34131006982093
228,-164.25177638153414,-225.6043990069756
229,-250.43848670444527,-79.40559162201248
230,-345.16524239839987,-83.10763067040571
231,-136.99095055211075,-244.35252626168548
232,-256.7867753521984,-229.3802733645485
233,-236.84845369082277,-240.1692264653162
234,-138.50493617778926,-205.61076159958907
235,-68.64019949616791,-69.73937646859909
236,-254.89248929648585,-222.75676437035395
237,-168.49075949266734,-396.0644580037737
238,-306.9913806118256,-82.79841051895073
239,-90.07202457275253,-114.67530000968773
240,-302.0731720992682,-257.8542303249538
241,-77.49526700932404,-375.3438841951398
242,-59.82156607093853,-249.95617242105925
243,-131.4570560758937,-398.6718719369945
244,-209.96129777887887,-336.80978400015215
245,-97.24299258413916,-199.74205795826384
246,-219.7895832215659,-177.55221506489863
247,-142.18102877535327,-295.9450319583367
248,-170.8722442486727,-313.9313925045512
249,-210.6113801017803,-376.67217369987696
250,-155.84489523574683,-391.7837697030856
251,-351.0040977591689,-128.30339357573519
252,-211.4686070642768,-254.60122494000242
253,-216.95396482198677,-314.0033747380127
254,-216.8523718228417,-370.3399421253819
255,-251.3265457572481,-197.88097957903884
256,-48.06987993306241,-291.61772212309035
257,-83.71173908446134,-416.30130626836467
258,-157.69403190390102,-201.16881660623966
259,-334.4752282578832,-228.67475815275066
260,-68.8301572360341,-84.93432961628574
261,-231.3070664714621,-211.4608568936183
262,-299.9072389334881,-231.25201338456992
263,-371.0990772726709,-248.5710672540872
264,-91.00342142181302,-413.7140811081122
265,-233.3050465020484,-207.0881911139469
266,-253.82858731220787,-278.4381311296627
267,-310.5586513360204,-154.75280169222307
268,-298.92306032939626,-216.14869374155072
269,-190.4371479413517,-74.72805771965001
270,-240.92668396470347,-147.09380484555166
271,-375.5877412744779,-147.8030372106971
272,-105.15348488808736,-186.41216775892792
273,-85.9191669808935,-282.08346735756686
274,-120.56850118146929,-241.54242356368235
275,-305.2505098616455,-199.82895990533353
276,-154.94306515363064,-249.5671120673737
277,-305.75643643779694,-96.1989809406086
278,-172.96326251709002,-175.98859851332838
279,-150.43553638368684,-216.91310315243334
280,-126.36721506105349,-173.06684510939277
281,-49.8667331715268,-382.8249980432695
282,-142.34956151903324,-156.91567535862083
283,-151.26306243195623,-417.52996589621733
284,-286.69492943089466,-98.19415829106704
285,-275.8294334268055,-408.39998966776346
286,-123.69474588623888,-215.43312186065145
287,-352.5566278689974,-407.8699551281186
288,-189.250045003836,-123.56594669728744
289,-163.3075440032127,-73.48261071606382
290,-303.459447029749,-309.9761824199407
291,-220.750154050217,-228.99673216831823
292,-255.74596611766196,-369.0076995888712
293,-122.205620430204,-234.56212446194542
294,-300.863388004655,-411.0817615292278
295,-91.37589105159168,-347.9365765609037
296,-172.81784845296698,-228.47995952966352
297,-149.56324290626216,-217.64553464352718
298,-225.62171417076468,-295.18987624061924
299,-131.9903820331274,-115.66420515524791
300,-165.88902533804247,-339.20940412298137
301,-60.14141742005097,-224.30254305388772
302,-233.2875209013137,-398.72450901687995
303,-80.2519184945698,-394.81478481825417
304,-161.0930300520739,-401.10940435810113
305,-223.4765442210248,-281.0827654115275
306,-190.76905554300623,-405.55050628865547
307,-211.16405641802203,-367.4132208410963
308,-78.48964039095642,-300.8274498873697
309,-201.0198039791665,-369.39160834617167
310,-127.14581353445588,-373.023004352519
311,-121.30284090223768,-292.717688035936
312,-289.82985247937046,-216.18468232733537
313,-214.16655237945085,-79.11355240739779
314,-192.32798158942376,-374.42262722909743
315,-173.57641753763193,-333.82003421934314
316,-252.87086462353503,-44.974810295982806
317,-280.53046202977043,-200.80371775453273
318,-338.42987479436545,-229.31548508968237
319,-97.5566187819253,-372.8303635179891
320,-129.96655129051086,-226.04472742868015
321,-365.5767870508984,-200.20651319596908
322,-124.44167868693916,-359.035117210066
323,-226.19906744995933,-393.69703199694845
324,-94.64158551512564,-325.9145477822261
325,-120.56090877539232,-56.988426965890625
326,-64.16706113899046,-321.4106930717216
327,-333.4391680895082,-356.9459529493186
328,-145.68189840953394,-81.75647861584591
329,-145.88402119149714,-354.6725258709082
330,-247.21316178567653,-349.00569448545764
331,-59.52926306638243,-145.98707082153044
332,-229.5153014771809,-209.13250993723815
333,-249.71802252293293,-317.8721688827839
334,-320.16711898891305,-35.05014830828676
335,-53.42796307907208,-288.1375864686055
336,-372.219213486225,-215.544854403204
337,-322.8465079697752,-263.6550586939359
338,-55.3966123653946,-264.68820340394427
339,-265.4816525694301,-244.83178769339574
340,-297.50203124184685,-181.9257115070925
341,-234.8500880444524,-115.78028519040609
342,-190.8458301214877,-324.77704716830164
343,-178.8379866227834,-139.2997977226574
344,-262.3040444202008,-321.15846859753395
345,-57.45409557719343,-183.7697735916498
346,-191.32745137642587,-97.72715611897667
347,-68.84580953193026,-73.36071304698451
348,-188.04783081105523,-333.0894229419574
349,-288.53146024472744,-131.17247065728182
350,-334.6325667508672,-192.941985633967
351,-184.35591272343768,-187.2544593515556
352,-87.42549699879496,-400.0130607937514
353,-331.98820089225865,-264.61901160217445
354,-71.40638684518484,-388.4424112052904
355,-97.86296079572593,-388.34061018696536
