episode,run_0,run_1
100,-113.42722570436553,-99.58641048318492
101,-125.2691776068234,-74.92168589661313
102,-104.95164264046744,-146.8389034766128
103,-125.06997221451914,-135.00605292725567
104,-52.12107644681731,-76.3331703616467
105,-72.01189123303618,-212.6758210330932
106,-116.21933496261046,-73.67479639201056
107,-109.47155723450444,-122.26834577092528
108,-68.65592028861067,-266.4999905145459
109,-123.80247913349211,-47.038215764351975
110,-82.7588274676308,-123.68858082992145
111,-113.73774241660014,-96.2165179761583
112,-92.21940402887677,-47.47548357168839
113,-50.76362779264406,-55.29503956258024
114,-76.88750834060892,-204.94394710005344
115,-135.6334446935393,-186.01928742791156
116,-142.9459424177222,-89.81814603162525
117,-118.1569502721535,-49.42366810941763
118,-75.66544391557983,-81.40021681546665
119,-85.25202249700827,-187.24319167230385
120,-60.37561464357461,-150.68781424438464
121,-96.91657667258632,-89.97444688549044
122,-109.960259600329,-114.80196290221028
123,-66.58994814693024,-75.45145469828404
124,-67.24819262880631,-70.67502905533705
125,-192.7997251697851,-113.931187671637
126,-149.88521666731322,-131.95785796017248
127,-111.66193326586588,-205.47238536362335
128,-93.37628482727943,-125.1859408887008
129,-305.2319850474475,-59.81177461407692
130,-87.93465171804786,-99.38953758582446
131,-107.46289979662777,-88.88180442447617
132,-99.59510649625156,-83.9438104435402
133,-212.63065636095823,-119.70220634112782
134,-101.54584191602736,-222.59760956628566
135,-117.09064916659588,-203.6073072234483
136,-90.37324526858268,-116.15241373811764
137,-106.33956456777652,-90.3040911796511
138,-61.75427657114576,-261.160433812316
139,-68.7437442465303,-90.75645497740342
140,-91.0043969813315,-83.88873814649278
141,-134.5320161037503,-94.45026412320745
142,-77.43746359513823,-102.03358459098366
143,-98.83197962978367,-164.6712109769207
144,-56.7725485686796,-55.411891450831234
145,-172.83415812520877,-82.27772609679472
146,-218.81097721100767,-207.2962488442095
147,-79.67475968088861,-68.88639835957542
148,-55.14673326828846,-179.99221105912778
149,-290.323472384596,-96.92983140598946
150,-107.6756988170678,-226.03652751519635
151,-184.68915366187744,-101.76996196841225
152,-79.69391663162916,-51.5366175994986
153,-57.235192532453766,-92.6648706108246
154,-334.2926680397597,-72.39925661112389
155,-197.03344068048528,-80.4278649409577
156,-83.98485676830845,-93.4851169714328
157,-40.79692034735501,-98.6583836593505
158,-106.5990022788014,-49.27918835739307
159,-175.40954452355703,-209.4718930853205
160,-119.93170444404072,-76.78059850014405
161,-194.62254493112988,-87.65894200872108
162,-140.11951437262445,-148.66759104865605
163,-190.45610637976768,-55.86145696148536
164,-112.53560011287776,-76.27987100431679
165,-162.18086815185617,-75.45892107110333
166,-114.34469041004236,-55.085095186680846
167,-67.96393151117675,-240.68767186814094
168,-180.6072202711292,-150.50895981128767
169,-316.5382675481929,-91.84565393688166
170,-89.19901336158738,-100.04808841981293
171,-204.9005788766147,-84.2505370514578
172,-81.75205372850905,-120.76584597860713
173,-106.89672537557892,-65.07531570406003
174,-77.33567513289127,-79.13529423567493
175,-139.79121988135896,-339.0112468920796
176,-233.95032147764672,-83.92306865788154
177,-56.721354795520426,-251.06313788090046
178,-240.5116618905132,-226.39057923431017
179,-105.4159154596174,-62.21632994378688
180,-282.4853975081592,-89.50849065419094
181,-87.28856664218765,-83.49957753774439
182,-34.049701801712025,-267.16635765134157
183,-271.69362873069497,-60.322618596116925
184,-113.812162915087,-67.57312877520285
185,-89.91455001619005,-80.55055538984232
186,-78.98594272372723,-73.20325166218868
187,-112.75320833500476,-60.83898922342743
188,-267.1204899471498,-51.25206674771384
189,-257.42347098213486,-80.83079836163515
190,-142.48992793016885,-93.71949987373637
191,-250.6970293556354,-196.0960898336501
192,-251.4569609070075,-80.57473653164215
193,-32.62402385264325,-59.5121550518749
194,-173.00937988122004,-188.49245507992256
195,-68.54367563977483,-316.4097571273709
196,-48.269450677287175,-374.14164265524875
197,-41.17848089404717,-119.56017858227021
198,-97.12812294288206,-284.3135734132209
199,-75.05565246676792,-57.96829225404832
200,-73.22920270946558,-88.63362703698397
201,-220.73073156974203,-78.61578660621396
202,-93.25602071486348,-86.39838948520011
203,-144.11983214159835,-42.78707598123819
204,-55.7082246417085,-349.45344355191247
205,-234.04322218024848,-104.56184273736736
206,-222.37170162358805,-76.89847151116129
207,-95.95247848966105,-184.46854264177256
208,-94.91185201998464,-44.83679658529212
209,-67.46557210943391,-373.535312066707
210,-69.47468157165895,-73.34940220378604
211,-190.07578174653892,-65.11993551050857
212,-45.3136474023726,-60.490721864464604
213,-77.19591651326823,-106.76869075026181
214,-41.4679015090622,-193.13157182657017
215,-69.25083482860047,-34.680240233576825
216,-114.8562353764786,-102.64229934637075
217,-73.14333024107027,-70.85839337297428
218,-89.16619731512645,-91.01984470892044
219,-69.97659951294509,-377.4130311042805
220,-217.86226001392745,-82.3597349100981
221,-194.56527034519237,-60.58836969893183
222,-255.61240083703703,-68.89981020725256
223,-39.11725571110007,-145.17563394955607
224,-205.7287992466892,-45.1202319673034
225,-195.60894206267105,-54.65192278309121
226,-12.15704049578653,-75.55858017853565
227,-45.580233705512896,-193.84180390499347
228,-68.39765371955428,-79.14648251590057
229,-48.59839958646161,-55.43309115044474
230,-68.93162688712376,-88.10433716908194
231,-67.60226719898377,-45.74215164471008
232,-94.56923557664663,-44.811672728957106
233,-70.00773769878647,-76.3161690312349
234,-53.41554157191493,-62.44711687515846
235,-69.53011237821597,-263.40011944946644
236,-63.33611761906292,-79.50262821531271
237,-62.18629903358746,-38.37609356567845
238,-65.95011007505677,-69.88163601841256
239,-213.285528809648,-63.99701009884796
240,-89.79447957689717,-76.12369959373697
241,-40.05464479711516,-69.62666594218597
242,-69.34086671977022,-34.20434849757556
243,-62.97298789252704,-71.95563420882118
244,-97.28982284652608,-42.424270701503424
245,-52.12802480747366,-194.0108309735838
246,-200.66944063545264,-49.32859265686996
247,-37.96986146960767,-45.05495051547243
248,-99.74813621447402,-83.34429168812824
249,-103.5824161382417,-66.25463609121276
250,-54.25222484521981,-99.67816991775211
251,-70.6698881397843,-78.04168852999749
252,-35.43808499402086,-38.8150766124118
253,-202.2107765330793,-168.73899236186818
254,-81.86603440502591,-69.77613938974235
255,-62.54466469295134,-120.36749937300661
256,-86.31489717191565,-76.32922339435243
257,-200.5322513764353,-187.66543810524988
