step,run_0,run_1
2048,95.56348201930524,87.09232806116343
4096,42.55489434972405,32.94884126484394
6144,23.230407844483853,25.56111098602414
8192,10.706666312739252,9.234506454505027
10240,3.783811111282557,2.8025190505664797
12288,1.2231912151211872,1.8455825101584196
14336,1.3165852738544346,0.8913998482748866
16384,0.5908067335025408,0.7433175881393254
18432,0.3717460980638861,0.5760454461444169
20480,0.3881674462463707,0.8479315035510808
22528,0.258187492378056,0.27034054887481035
24576,1.3856224295217543,0.7122616586973891
26624,0.6072994485730305,0.5684052488999441
28672,0.5651361659867689,0.6293019977165386
30720,0.6838588888058439,0.6166002274025232
32768,0.4980203528888524,0.3050236955168657
34816,0.6143812975613401,0.645842952746898
36864,1.7358099677599967,2.700130121782422
38912,1.0069072884274646,1.6919363847002387
40960,0.5427116947714239,1.192010205006227
43008,1.133957025874406,1.5752588502597065
45056,0.6674317973665893,3.2556001733988524
47104,2.6431888826191425,2.2711821048520506
49152,3.3837222207337616,1.8023144146893173
51200,2.454114648327232,1.435876667778939
53248,3.616024357639253,2.537433939380571
55296,3.209769862797111,3.277542285434902
57344,3.2006595607846977,2.47724071694538
59392,2.879817437333986,2.097592562623322
61440,1.0334445545915514,3.5846470283344387
63488,2.405845780763775,5.25424929484725
65536,1.7787435255944728,3.2863163045607506
67584,1.438319407403469,3.5195387506857516
69632,4.832318325340748,6.028895431011915
71680,1.2964321989566088,5.565209079906344
73728,2.207512697158381,5.4196352859959
75776,3.072042612358928,5.002485895529389
77824,2.186423302441836,5.913777859508992
79872,4.947939486615359,5.9538261475041505
81920,7.478521320596338,7.010559906437993
83968,4.159688286110759,6.1553764211013915
86016,4.908292026631534,2.4763430061750116
88064,4.182404235005379,5.838555154576897
90112,7.05807705745101,5.605943483300507
92160,5.711316215246916,4.918094801343978
94208,3.2835629037581384,4.94800585322082
96256,5.024132295884192,6.276728131994605
98304,6.832382617332041,6.3071905905380845
100352,8.350967350415885,6.779888254404068
102400,4.6227701410651205,5.609965780563653
104448,5.478852844238281,6.701329148374498
106496,5.865522212535143,9.048714405670761
108544,7.323329648002982,5.887899902276695
110592,3.897066695895046,4.8176845764741305
112640,3.81470048725605,7.413877587020397
114688,6.552877516672015,3.5870561193674804
116736,3.5683906303718684,5.354696373827755
118784,3.617542254552245,6.275271026231349
120832,5.183381794206798,8.2223931401968
