step,run_0,run_1
143360,-2.7875537738204,-2.790381457656622
145408,-2.787944079190493,-2.7889527972787618
147456,-2.7888777900487183,-2.7890736289322375
149504,-2.7877439808100464,-2.78615994900465
151552,-2.785800718516112,-2.786047375574708
153600,-2.7848792068660257,-2.782819643244147
155648,-2.78250953219831,-2.781177611276507
157696,-2.7806463267654182,-2.7801502902060746
159744,-2.777658637240529,-2.778572114184499
161792,-2.7763291876763105,-2.778491550311446
163840,-2.775644262880087,-2.777089925482869
165888,-2.7747890993952757,-2.7763087950646876
167936,-2.7736554466187955,-2.776361557841301
169984,-2.7742897886782885,-2.77411231957376
172032,-2.7741919219493867,-2.772661567479372
174080,-2.7741315510123967,-2.771312125772238
176128,-2.773797220364213,-2.768792912364006
178176,-2.7723599664866923,-2.7685490008443594
180224,-2.771073976904154,-2.766565726697445
182272,-2.770510524138808,-2.764573070034385
184320,-2.767417709901929,-2.7639377400279046
186368,-2.766548180580139,-2.7618639305233956
188416,-2.765261985734105,-2.7597983092069627
190464,-2.765888658165932,-2.756690088659525
192512,-2.763981382548809,-2.7567900884896517
194560,-2.7631190054118635,-2.757854250073433
196608,-2.761003007367253,-2.7548521511256694
198656,-2.759982168674469,-2.752640461921692
200704,-2.759293657168746,-2.75384092964232
202752,-2.757582385838032,-2.7513610161840916
204800,-2.757031323760748,-2.750987885519862
206848,-2.7560307841748,-2.7498442001640795
208896,-2.755696941167116,-2.748705058917403
210944,-2.753448845818639,-2.746814848855138
212992,-2.752473272383213,-2.746371537819505
215040,-2.750492082163692,-2.7456258449703457
217088,-2.7490625374019144,-2.7475393366068603
219136,-2.747459439188242,-2.748012863472104
221184,-2.745983034744859,-2.746642230451107
223232,-2.7441661950200795,-2.746220766752958
225280,-2.742645312100649,-2.7458161771297456
227328,-2.7409643229097127,-2.7459241610020397
229376,-2.740860394388437,-2.74515411183238
231424,-2.7388850513845684,-2.7439057189971208
233472,-2.738359817489981,-2.744721629470587
235520,-2.736376305297017,-2.744450248032808
237568,-2.7348708089441063,-2.743271941319108
239616,-2.73353075273335,-2.7429204802960157
241664,-2.731405011937022,-2.742838367819786
243712,-2.7320608519017697,-2.7421260554343463
245760,-2.733994694426656,-2.7413135025650264
247808,-2.7341105405241253,-2.7397837586700917
249856,-2.734317602962256,-2.739839393645525
251904,-2.734795053303242,-2.7399490490555762
253952,-2.7350651644170285,-2.7391628615558146
256000,-2.734110518544912,-2.7379563212394715
258048,-2.7346104897558687,-2.738016176968813
260096,-2.730088291689753,-2.7373506877571345
262144,-2.72961281388998,-2.7351179331541062
264192,-2.7291762445122005,-2.7350128166377545
266240,-2.7266317486763,-2.736463177204132
268288,-2.727489657700062,-2.736256369948387
270336,-2.726202552393078,-2.7338353026658297
272384,-2.724535922706127,-2.7325982835143803
274432,-2.7254123341292145,-2.732118120789528
276480,-2.7234823614358903,-2.731940443441272
278528,-2.720363612473011,-2.7318167593330145
280576,-2.719971865043044,-2.7304871886968614
282624,-2.7170525901019573,-2.730864290893078
284672,-2.7175900343805552,-2.7294043507426977
286720,-2.716287802159786,-2.729971156269312
288768,-2.717084858939052,-2.7310559421777727
290816,-2.7151263136416675,-2.7320433028042315
292864,-2.7157507803291083,-2.7312398087233305
294912,-2.713876824826002,-2.728773842006922
296960,-2.711770571768284,-2.7267853174358607
299008,-2.711747884377837,-2.7254815053194763
301056,-2.7118261571973563,-2.723756327107549
303104,-2.7111118540167807,-2.723467159643769
305152,-2.7102181661874054,-2.72276013828814
307200,-2.710428423807025,-2.722474284097552
309248,-2.7092722285538917,-2.720557413622737
311296,-2.710710779577494,-2.7193808786571028
313344,-2.7094477243721484,-2.720021132007241
315392,-2.7092123944312334,-2.717291031777859
317440,-2.7088013254106045,-2.7166216641664507
319488,-2.7079123459756373,-2.7173240561038257
321536,-2.705451963469386,-2.716168162226677
323584,-2.705898202955723,-2.714468439668417
325632,-2.704231056198478,-2.714687065035105
327680,-2.70178716480732,-2.7124078828841447
329728,-2.7011992536485194,-2.710746268182993
331776,-2.7018395222723486,-2.708167427778244
333824,-2.7015669580549,-2.708481455221772
335872,-2.6993958186358213,-2.709193845465779
337920,-2.69975601285696,-2.7085635494440794
339968,-2.6976318668574093,-2.7073025342077015
342016,-2.697886449098587,-2.706346923112869
344064,-2.699062769860029,-2.707188051939011
346112,-2.6984085544943808,-2.705365499481559
348160,-2.6973910354077817,-2.7047447487711906
350208,-2.69457747861743,-2.7059453692287208
352256,-2.6960970520973206,-2.707446902990341
354304,-2.695515995845198,-2.707132443040609
356352,-2.693906592577696,-2.7063167370855807
358400,-2.693550331518054,-2.7067306257784365
360448,-2.693709425255656,-2.7059598959982396
362496,-2.691742093116045,-2.7055062986910343
364544,-2.691595958545804,-2.703164479136467
366592,-2.689775166288018,-2.7026118583977223
368640,-2.6876932833343745,-2.704292770475149
370688,-2.68891530148685,-2.7059435199946167
372736,-2.688117093592882,-2.707126758620143
374784,-2.6891134779900314,-2.705193209648132
376832,-2.6859215565025805,-2.705756013095379
378880,-2.6860888369381426,-2.703691627830267
380928,-2.685172579437494,-2.7031638611108066
382976,-2.6856523267924786,-2.702643959224224
385024,-2.686228120699525,-2.702071516960859
387072,-2.684731078892946,-2.7027606215327977
389120,-2.6843372981995346,-2.7026110254228115
391168,-2.682507874816656,-2.7031001318246126
393216,-2.6819237817078827,-2.7018193647265436
395264,-2.680232386663556,-2.7025730300694706
397312,-2.681510149315,-2.7019323009997605
399360,-2.6798693854361773,-2.7019094839692115
401408,-2.6791172951459883,-2.7005899399518967
403456,-2.676348128169775,-2.69991271533072
405504,-2.6762328188866378,-2.699272485077381
