episode,run_0,run_1
0,-147.3763946400559,-105.32028063020707
1,-46.60865710631428,-137.6232532252792
2,-103.67828212443747,-163.4981838933881
3,-120.30841125284869,-133.67550033634052
4,-65.40544779496278,-239.21382269381283
5,-46.23867279296386,-115.02877137716486
6,-106.18530392491375,-103.99744235190711
7,-74.67788438797314,-180.83960622525439
8,-67.64028070195818,-76.87886314053571
9,-156.27528153517625,-57.815400900172236
10,-91.81433715361186,-77.12481692063008
11,-128.63346886589142,-130.46610636676053
12,-173.21790318394085,-149.71665190302207
13,-72.53053909414287,-48.72145803468514
14,-74.51557230324323,-60.57771990167949
15,-64.422397731981,-71.18744907900943
16,-52.13080233896842,-123.59146743552864
17,-49.37783815034384,-65.59721939053746
18,-131.40762758111714,-60.395436374851
19,-113.38427298882269,-70.44314058463817
20,-50.22093708330985,-121.46233839290517
21,-79.79034354324,-80.61555026907598
22,-99.80959800612712,-114.57562217867532
23,-45.32318238073781,-69.95135270233688
24,-109.36512992952254,-98.18124345810662
25,-54.84992729570144,-48.30881743684462
26,-109.63460029715048,-70.50966612345852
27,-163.82550161760105,-72.33101065243832
28,-44.59709065279547,-125.5178883937666
29,-137.3915959511075,-108.44779980594127
30,-35.9004381199961,-76.15042966282002
31,-134.76930136394117,-66.51443822823485
32,-150.0672487761079,-157.501653928096
33,-109.37274814819884,-118.05072977721125
34,-116.32976992304155,-83.20661468004934
35,-65.65274351910355,-74.73793015526006
36,-58.13652287393064,-69.80871976411503
37,-90.73218625884732,-92.73795745613056
38,-46.702642650232,-47.73086590552765
39,-176.92171832062584,-114.39218621580196
40,-122.85186425034502,-50.59743202085439
41,-85.73906831098294,-61.26717544441396
42,-81.42049788205415,-67.26426183978379
43,-57.76175043941389,-48.58904843374228
44,-90.89237761549865,-69.05208179107751
45,-119.04321386713866,-112.13468818202037
46,-134.2752870264258,-158.18996664754718
47,-46.21301095834323,-34.107290887108924
48,-74.06000668352755,-74.95982675770142
49,-76.85807471137373,-65.73267057822844
50,-72.3443880673749,-112.68865467493872
51,-53.57832713022872,-89.5088638840173
52,-49.79164905863979,-137.00445045478983
53,-86.62194582948771,-253.33631269313784
54,-138.02567174219183,-135.9841197210491
55,-58.09539457675873,-94.8304165386779
56,-153.86477322085756,-137.28186866005362
57,-81.78592460466882,-188.87209673071374
58,-141.7420652375494,-45.524571058793576
59,-83.17155220585472,-75.51230023050246
60,-90.31008801117696,-88.4455654198454
61,-114.2042587212331,-167.69172491608168
62,-55.47650525859081,-71.10688364829448
63,-55.90203171794669,-69.51401661628839
64,-95.22161676552469,-57.79347004517321
65,-103.84916629483618,-73.26637719128499
66,-91.83362736187352,-271.1360290131283
67,-72.55098533486017,-59.172160374235915
68,-87.68604650878035,-82.03190527299051
69,-45.61940740748804,-59.09324388217098
70,-68.58328830584124,-110.23539400807002
71,-83.55227357538864,-125.20926510447974
72,-64.5251275030525,-98.04823041427633
73,-116.33584281483768,-90.51382944522615
74,-70.61255084784025,-91.86718722508655
75,-262.3123865519226,-83.4891860459156
76,-85.21917643295266,-48.065333094849706
77,-98.0221340228568,-62.57423678331823
78,-71.34394905555122,-68.29708701842895
79,-66.43979627374412,-62.827895912145735
80,-111.19534057184676,-84.48362891234285
81,-232.9207431348932,-69.9291363620732
82,-93.14566346387473,-80.72886286635246
83,-105.5039475401273,-100.6756996141046
84,-129.89394910423954,-125.28003497903373
85,-127.9258462360499,-130.19242501756167
86,-55.142566634517614,-95.40908566041216
87,-117.52984304536966,-75.93084833420492
88,-96.64369229142248,-121.41006519217837
89,-75.76839827975897,-50.914231798356205
90,-125.6386457414086,-122.62273514398049
91,-103.27624676636871,-101.89989250109258
92,-154.1970147810435,-98.40291006497917
93,-53.443535622417215,-70.1019736356208
94,-71.67166338723018,-99.13008376501195
95,-74.41044641355342,-104.27770198030449
96,-185.24692421249588,-125.66610909076701
97,-63.05752146179023,-88.94911641059825
98,-128.94708834832318,-82.9003645199777
99,-103.98482905116596,-111.31322155963474
100,-96.17591908477226,-84.04713681409234
101,-88.1247467416807,-47.471397630529495
102,-94.2234982160956,-52.9316422209346
103,-74.21703804088345,-92.88740527373298
104,-70.54527993456443,-72.74106170616042
105,-63.80278352464912,-63.935779664046905
106,-176.86319459675514,-44.00473827117487
107,-57.61036373396904,-81.65183404849182
108,-69.50924377677603,-78.54408613411064
109,-83.66660932301733,-67.84337814953236
110,-82.34889731047029,-120.43900901630778
111,-77.80333596397533,-80.25459842303309
112,-57.9275373554149,-66.15506178064469
113,-87.25214804705384,-76.44387500977174
114,-75.82053275135723,-91.51182155356676
115,-104.81521507584716,-95.52143043169906
116,-63.18227002432222,-134.00479693791343
117,-110.09672944469222,-76.05929097665626
118,-151.70181516489026,-93.5605505990186
119,-93.14476985386533,-83.30989895663207
120,-46.93497869264385,-77.62341032678826
121,-67.20688784446064,-54.01714207143555
122,-301.4058318881512,-78.24651965273085
123,-66.3940962547866,-271.2199810811568
124,-84.10451420005963,-108.55686241454372
125,-106.29861891835466,-86.33980558307454
126,-70.07028388306591,-299.65710605184194
127,-55.399740644506,-95.02788499385407
128,-225.6881341924981,-83.16200941126152
129,-57.56677806644403,-48.0327838868219
130,-95.4844674698224,-124.23096268397057
131,-105.71608857869252,-75.85978067506323
132,-73.67602595894375,-156.03713149672132
133,-92.02324490154412,-184.90849660558104
134,-99.18917606190226,-93.88416201684097
135,-83.73572915993113,-197.59234751529706
136,-75.20055064622707,-52.56378272044619
137,-82.78302874154068,-73.71133128318537
138,-116.6652658707696,-106.33138970509941
139,-104.4124251342074,-134.98956287783238
140,-118.72427375737315,-303.91664334636886
141,-325.57444010276566,-115.7804180207172
142,-80.1962277570405,-66.37638669694263
143,-101.93387228540864,-80.89262562518542
144,-125.80410077841972,-80.30567122429048
145,-201.8606095019789,-297.05937564547264
146,-85.86611245364166,-78.1255817520223
147,-112.19092584160413,-65.949861854985
148,-112.68169570610414,-87.78231647949983
149,-70.8734166170605,-104.82927004890452
150,-114.0938214852401,-131.84952291345007
151,-51.97542509427886,-47.672857827577495
152,-86.87154288773819,-47.40886322646417
153,-171.0826896128453,-89.80684427603953
154,-104.63557549326134,-100.85754817576955
155,-47.01605457262724,-266.3770778974648
156,-79.52712384130594,-108.0821612052429
157,-117.22076601747926,-220.62943579932116
158,-180.1306987338496,-242.91398045998386
159,-73.4241755135765,-90.25784637855111
160,-192.61480189603395,-257.0712176961776
161,-94.02505772479086,-107.71011352191329
162,-231.55573315544584,-61.89703714059923
163,-111.76898366347686,-135.5984262807321
164,-124.20657037238796,-103.256156336912
165,-95.5890311500633,-221.0347558624137
166,-78.63211744923103,-38.23506623746584
167,-207.10584858480053,-85.89680190091613
168,-83.99694707527335,-92.60007598715985
169,-129.19030692503213,-99.67153598698515
170,-183.5096024772314,-198.25909238512222
171,-86.26097586300145,-220.30287396000105
172,-79.2141850233986,-55.85344286145505
173,-118.4335352664504,-240.26542588425707
174,-224.36742262172112,-221.31331340928756
175,-152.1231007356207,-66.96758836178755
176,-53.70801669540144,-86.99064399210154
177,-300.1527837650343,-80.72216147265155
178,-102.95393333889282,-39.80525881471714
179,-298.20344276045626,-208.4761318593126
180,-91.50329789738556,-52.09630488108367
181,-49.353380362724295,-74.89139193110088
182,-208.4030442024793,-176.8555756456051
183,-78.21353170042127,-41.33753572660982
184,-280.6323232172993,-151.19420254835973
185,-110.3065204844414,-36.58404400492967
186,-94.06934820251531,-128.39552897401074
187,-93.81329329460416,-266.6783545144648
188,-68.9388270593545,-145.72850990814217
189,-238.17641718509836,-356.51938749645154
190,-89.82440584401542,-220.82129267637217
191,-41.33598465864851,-48.002327306812404
192,-176.1434239923382,-188.3644829069652
193,-101.12684568874975,-38.85978748955559
194,-70.52928916182331,-124.49841913600088
195,-149.31735085417205,-88.62626996093914
196,-90.56155282033588,-71.0942434963099
197,-86.54379419538982,-81.54758240178627
198,-131.2493751169512,-71.7252999294919
199,-87.0799527088311,-96.52682367288901
200,-78.5525780270514,-40.61501146816451
201,-74.67125643978288,-70.04850883554542
202,-88.97849580123179,-146.54379039793267
203,-83.50658686445007,-100.26363840252961
204,-53.302792735703655,-73.91116909894671
205,-72.02618647454906,-79.37764308525956
206,-117.87851083836507,-208.54422402227502
207,-211.98073684616716,-112.06363625170849
208,-102.181626575385,-66.9959250667118
209,-148.36055185537532,-69.48276906332363
210,-102.28961084931892,-313.07452063848916
211,-215.8332779711681,-71.32232094335697
212,-57.15522678457158,-66.2832959584824
213,-225.64848857090595,-42.96935448698382
214,-132.52440671043456,-75.58011491984215
215,-111.24294013465632,-144.79609689252078
216,-149.18518557127163,-95.53037555005778
217,-107.4928559240696,-103.04242253997793
218,-80.81970777342028,-216.346532805495
219,-79.05523052235407,-66.3791521529325
220,-51.36569136410741,-203.21980967608158
221,-205.69040766268975,-77.8965434384291
222,-74.3924092921252,-48.02607229506792
223,-275.6323924989502,-57.0985197417953
224,-53.36950416537846,-89.90437738861989
225,-251.4445149645455,-77.59960228616305
226,-73.85302691241938,-12.63883045016974
227,-199.89340806157404,-67.48540419469826
228,-76.16382235783016,-72.80203724143655
229,-236.47011402097732,-67.73596809987878
230,-43.7080287464478,-149.49542591750367
231,-127.22496381934089,-78.65350487368406
232,-79.06006202933933,-39.06564758853591
233,-87.3645186995264,-68.57482072023686
234,-48.360278108300896,-188.99585399173174
235,-137.10942989407835,-202.49996814533307
236,-120.81383477039256,-74.29742347469244
237,-149.95404789264,-185.57532977282295
238,-122.50012214394717,-95.22286989614769
239,-52.53282542896288,-30.206671467131518
240,-72.55111259883753,-54.21618184592424
241,-76.55708648989892,-92.29766363403702
242,-69.4788005929928,-81.64415302173208
243,-88.51395591946451,-47.75090776425087
244,-71.12196992753465,-192.81960125938934
245,-49.12369484929287,-89.17781439595026
246,-40.79695526691914,-36.45967420326613
247,-248.0466518419845,-90.34835175714362
248,-98.23995709413325,-174.73008030799423
249,-73.25437021907159,-34.16003968643701
250,-101.08197550487952,-53.106708089100295
251,-110.50953946263208,-185.37225584251502
252,-142.94641413544136,-49.5114081159118
253,-37.31233089824273,-59.91127687449176
254,-70.73141935799248,-72.30004749458993
255,-106.42680678120756,-74.45520002450985
256,-217.880891680196,-57.098055380614625
257,-24.84515519053901,-75.3174350327275
258,-139.82711959894365,-70.10101792717343
259,-61.849356274126805,-84.82431861939956
260,-67.62331168732878,-79.61994277180808
261,-68.64259812665304,-37.68298723739583
262,-238.59337079327543,-78.68546269823406
263,-49.68094377508078,-150.26601537916042
264,-121.74259710585488,-40.94938593141354
265,-99.37323818845188,-45.7034157455236
266,-117.58588287185984,-36.37052948814873
267,-55.47416626633847,-36.795290689832115
268,-61.65042431919966,-67.40024008719757
269,-99.05423385628158,-35.83299242127591
270,-51.22427758259867,-69.29840536580289
271,-75.0258363419706,-182.52088145161252
272,-270.95156560863825,-82.09246667502576
273,-139.7475796335648,-73.41204370928898
274,-95.63636640989898,-64.05796792787024
275,-101.55621217139182,-43.92642328982596
276,-96.59039395341227,-50.433515065714474
277,-85.51763397611153,-69.01713848880279
278,-69.55052071822297,-75.86552031955073
279,-87.92622419850659,-38.81694040038763
280,-75.45539353804557,-175.49148080619284
281,-65.08957862474685,-46.174392665943145
282,-46.455061687645525,-48.95720126260649
283,-198.67904210711504,-39.194308396096496
284,-75.49609615050238,-67.02253812139057
285,-90.98054748493192,-151.0346466058927
286,-94.78311882245691,-69.51263896713846
287,-56.49231782633632,-10.786840780367372
288,-98.13757732669627,-79.09763898920795
289,-60.59025473336736,-89.10275931747101
290,-216.5068098852157,-39.28784499456789
291,-200.0477429624456,-47.22408582294849
292,-74.90956626907293,-35.48210404071665
293,-39.015983457064365,-52.35983288607822
294,-176.45926890654806,-85.25316415572613
295,-34.06384326943204,-201.0309457361538
296,-182.51294351611307,-70.21621303078952
297,-54.5650399646072,-65.69530908133706
298,-64.01455853107873,-42.82015384394292
299,-84.98628112270771,-41.84551772444846
300,-96.73923229590548,-44.26039814816468
301,-80.18926268846414,-74.17704139302019
302,-155.66750296746102,-41.8881229534252
303,-73.6186814678108,-46.083627098716775
304,-49.49737057574363,-46.84506245867297
305,-67.0735535472638,-68.85936423056461
306,-67.19500592257991,-70.68522160987129
307,-67.76066132099889,-77.21236669203162
308,-70.45595651146246,-50.30277875709455
309,-72.75157967761686,-42.261135754557195
310,-160.58598975128274,-325.2548816744781
311,-49.05635521275762,-28.171270838341613
312,-68.00128277844361,-65.2637385368909
313,-61.812505472842176,-32.55581078225596
314,-67.78197097860337,-72.37395769373964
315,-69.74429532495844,-68.65384086181169
316,-72.64733384773089,-183.33733303597842
317,-72.02801088576132,-102.7965575646498
318,-88.28858123967214,-37.14750686945888
319,-76.54075991944836,-38.521344072604286
320,-68.23139407833759,-70.51125232459171
321,-44.30303902990049,-40.39620129475596
322,-71.80373942969489,-79.8078434931711
323,-65.88124999009528,-77.25592199736762
324,-71.2721681836328,-38.23174773248977
325,-78.21677681934372,-45.324911611348604
326,-66.46426969248523,-69.26682168399991
327,-71.61186694699317,-73.72762751112754
328,-36.57419050588419,-70.54772366211742
329,-32.363294805415634,-63.46555029884436
330,-34.32614519658875,-35.48216397924101
331,-63.95896151663881,-51.4303081386059
332,-95.16369391884692,-75.78817328854066
333,-11.19819281872267,-37.49494451327316
334,-152.26848105255274,-69.58086242667281
335,-65.51999029583268,-99.16550328916692
336,-65.53520687192108,-83.76944915221233
337,-35.15743254828176,-179.5181229825241
338,-69.08867210318525,-46.73228525849038
339,-59.0961934695967,-53.3733604651776
340,-45.12698734806919,-73.72174396568933
341,-92.77308114744126,-49.3680664560608
342,-41.516133333497365,-69.46571064628561
343,-66.39747171661301,-35.282824044734646
344,-67.75683158448558,-60.92047837955317
345,-201.51065415869215,-74.50688249854286
346,-69.35934969053984,-185.30550253133083
347,-70.28676351890121,-71.94381671917291
348,-74.37845856883624,-176.35728119530955
349,-68.74885016650336,-66.60084056435068
350,-34.96326339143313,-61.681283332061675
351,-72.03250329125095,-72.31907429593602
352,-62.93943095808787,-60.41510991366057
353,-72.71618518255748,-70.83416254802401
354,-73.30771976814336,-38.237960486694035
355,-40.70356569410893,-62.639773806048396
356,-51.16822137238207,-102.88569481861822
357,-74.14799990859743,-153.9020859648108
358,-80.47202145085681,-178.54994423061564
359,-70.80887846934004,-35.39208550029289
360,-134.3058376395507,-40.6547100946801
361,-69.85515395755733,-41.671319008687455
362,-64.72273009521818,-39.223989349490026
363,-79.84048101681407,-38.34869522019287
364,-72.56665486355925,-39.588829120638906
365,-48.645085272162405,-66.70863570609974
366,-62.75243777597983,-70.48271070081017
367,-30.29934674526691,-68.23742444157637
368,-49.69691519849661,-30.99995619019242
369,-93.21542377165976,-38.507255367891844
370,-69.68979724773483,-84.3676256553768
371,-57.98597790552705,-120.35704484181781
372,-40.66512299654759,-67.00716199892867
373,-67.92162459206564,-74.20330672306741
374,-50.31005094055863,-36.98142890480518
375,-71.42490705235826,-41.5822650355504
