,K_epochs,actor_lr,c1,c2,cal_total_loss,critic_lr,early_stop,eps_clip,gamma,kl_threshold,lamb,layer_num,max_grad_norm,max_training_iter,memory_size,minibatch_size,num_cells,parameters_hardshare,episode_reward_mean,episode_reward_std,success_mean,success_std,crashed_mean,crashed_std,truncated_mean,truncated_std
47,20,0.0001,0.1,0.01,TRUE,0.0001,FALSE,0.2,0.99,0.15,0.95,4,0.5,196687.3257,2048,32,128,FALSE,-158.1458075,5.198105092,1,1,92.66666667,6.429100507,6.333333333,5.507570547
30,20,0.0003,0.1,0.01,TRUE,0.0001,FALSE,0.2,0.99,0.15,0.9,2,0.5,181715.8928,2048,32,256,FALSE,-173.4084018,8.601189723,0.333333333,0.577350269,94,5.196152423,5.666666667,4.932882862
60,5,0.0003,0.5,0,True,0.0001,False,0.1,0.95,0.15,0.95,2,1.0,60874.28421637718,2048,64,64,False,-174.81076254997183,14.212780928219656,0.0,0.0,74.66666666666667,5.507570547286102,25.333333333333332,5.507570547286102
80,10,0.0001,0.5,0.01,True,0.001,False,0.1,0.99,0.15,0.9,4,0.5,58690.400005561285,2048,64,64,False,-48.81718235286298,1.4206258719288931,3.0,1.0,97.0,1.0,0.0,0.0
61,10,0.0003,0.5,0.1,True,0.0001,False,0.1,0.95,0.15,0.9,3,1.0,57521.14732099807,1024,32,256,False,-160.9445168423382,22.411929289118348,0.0,0.0,81.33333333333333,4.618802153517006,18.666666666666668,4.618802153517007
90,10,0.001,0.1,0.1,True,0.0001,False,0.1,0.95,0.15,0.95,2,1.0,184651.34920115134,2048,32,128,False,-192.6437291206969,10.123833289628138,0.6666666666666666,0.5773502691896258,65.0,3.4641016151377544,34.333333333333336,3.214550253664318
81,20,0.0003,0.1,0,True,0.0003,False,0.1,0.99,0.15,0.95,4,1.0,97216.89584974007,4096,64,256,False,-64.30389830403792,6.8228508286890515,1.6666666666666667,2.0816659994661326,93.33333333333333,10.692676621563628,5.0,8.660254037844387
51,20,0.0003,0.1,0,True,0.0001,False,0.3,0.99,0.15,0.9,4,1.0,143666.83682762703,4096,32,256,False,-58.212185276261984,10.052851027746168,1.6666666666666667,1.5275252316519468,93.66666666666667,9.29157324317757,4.666666666666667,8.082903768654761
82,10,0.001,0.5,0,True,0.001,False,0.2,0.95,0.15,0.9,3,0.5,125222.75265463188,4096,128,256,False,-206.15897750663956,21.97691210336844,0.0,0.0,25.333333333333332,2.081665999466133,74.66666666666667,2.081665999466133
62,5,0.0001,0.5,0.01,True,0.0003,False,0.2,0.99,0.15,0.95,3,0.5,226900.40653574732,1024,32,256,False,-40.15768114842361,1.765012535821128,10.333333333333334,5.507570547286102,89.66666666666667,5.507570547286102,0.0,0.0
70,5,0.001,0.1,0.01,True,0.0001,False,0.3,0.95,0.15,0.95,2,0.5,281776.808682306,1024,64,256,False,-275.8801769556292,9.668193560145422,0.0,0.0,19.333333333333332,10.016652800877813,80.66666666666667,10.016652800877813
91,20,0.0003,0.5,0,True,0.0001,False,0.2,0.99,0.15,0.9,4,1.0,202975.66844377623,2048,32,256,False,-46.644446538898706,5.6617093939212175,10.0,6.244997998398398,88.0,9.643650760992955,2.0,3.4641016151377544
63,20,0.0001,1.0,0.1,True,0.0001,False,0.2,0.99,0.15,0.95,2,0.5,56483.648514670844,2048,32,256,False,-47.9573684257069,0.37114851759270373,3.0,1.0,97.0,1.0,0.0,0.0
52,10,0.0003,0.1,0.01,True,0.0001,False,0.1,0.99,0.15,0.9,2,1.0,153753.3834105974,1024,128,128,False,-41.64218143891677,1.560225363331577,5.333333333333333,3.214550253664318,94.66666666666667,3.214550253664318,0.0,0.0
83,10,0.0001,0.1,0,True,0.0003,False,0.3,0.99,0.15,0.9,2,0.5,143019.12731491154,2048,64,128,False,-42.06453990922878,2.7302589681289433,5.0,1.7320508075688772,95.0,1.7320508075688772,0.0,0.0
71,20,0.001,0.5,0.1,True,0.001,False,0.2,0.99,0.15,0.9,3,0.5,110353.82840335454,1024,64,64,False,-52.725984793669824,2.734473429657408,4.0,2.6457513110645907,96.0,2.6457513110645907,0.0,0.0
84,20,0.0003,0.5,0.1,True,0.0001,False,0.1,0.99,0.15,0.95,3,1.0,119006.29244552855,2048,128,256,False,-47.69831287227879,1.2645983916067258,9.0,1.7320508075688772,91.0,1.7320508075688772,0.0,0.0
72,20,0.0003,0.5,0.1,True,0.0003,False,0.3,0.99,0.15,0.95,4,0.5,153312.33924643788,1024,128,128,False,-43.71546460676662,5.430568015621739,15.0,11.0,85.0,11.0,0.0,0.0
85,10,0.0001,0.5,0,True,0.0001,False,0.2,0.99,0.15,0.9,4,1.0,96223.86056657924,4096,128,64,False,-79.21157341073793,10.482437787140922,3.3333333333333335,1.5275252316519465,93.0,1.7320508075688772,3.6666666666666665,3.0550504633038935
92,10,0.0001,1.0,0.01,True,0.0001,False,0.3,0.99,0.15,0.9,4,0.5,284101.9378889728,4096,32,128,False,-39.643810760437596,8.132338241335578,33.333333333333336,10.016652800877813,64.66666666666667,13.051181300301263,2.0,3.4641016151377544
64,20,0.0001,0.1,0.01,True,0.0003,False,0.1,0.99,0.15,0.9,3,0.5,267993.11087490723,2048,64,64,False,-31.97380252601148,4.186456448438128,44.666666666666664,11.547005383792515,55.333333333333336,11.547005383792515,0.0,0.0
53,5,0.0001,0.1,0,True,0.0003,False,0.2,0.95,0.15,0.9,3,0.5,269184.79573056963,1024,32,128,False,-239.40804221616386,9.399449141325515,0.0,0.0,33.666666666666664,7.371114795831994,66.33333333333333,7.371114795831994
73,10,0.0001,1.0,0.01,True,0.0001,False,0.3,0.95,0.15,0.9,4,1.0,255683.35109427152,1024,128,64,False,-262.3796669835208,21.045741824663295,0.0,0.0,25.666666666666668,4.163331998932266,74.33333333333333,4.163331998932265
86,20,0.001,1.0,0,True,0.0001,False,0.3,0.95,0.15,0.9,2,0.5,209667.4664543793,1024,64,64,False,-229.8892646160449,42.838893307168156,0.0,0.0,43.666666666666664,23.35237318418266,56.333333333333336,23.35237318418266
65,5,0.0001,0.1,0.1,True,0.001,False,0.1,0.99,0.15,0.95,4,1.0,216074.58240292408,2048,64,128,False,-41.41234562221495,1.5733375772856892,11.666666666666666,3.055050463303893,88.33333333333333,3.055050463303893,0.0,0.0
54,20,0.001,0.1,0.1,True,0.0003,False,0.3,0.99,0.15,0.95,3,0.5,184830.50311882107,1024,64,64,False,-69.2215434416687,9.92777007413071,1.6666666666666667,1.5275252316519468,98.33333333333333,1.5275252316519468,0.0,0.0
93,20,0.001,0.5,0,True,0.0001,False,0.1,0.95,0.15,0.9,3,0.5,208353.70744591797,1024,32,64,False,-239.01610512603733,19.266731026405306,0.0,0.0,38.0,10.14889156509222,62.0,10.14889156509222
55,20,0.001,0.1,0,True,0.0003,False,0.3,0.99,0.15,0.95,2,0.5,105312.94752734856,4096,64,256,False,-45.28314807589874,0.62130375809043,7.333333333333333,2.516611478423583,92.66666666666667,2.516611478423583,0.0,0.0
74,5,0.0001,0.1,0.01,True,0.0001,False,0.1,0.95,0.15,0.9,3,0.5,158448.63809914066,4096,128,256,False,-207.6125014863151,15.95063981493945,0.0,0.0,24.0,11.269427669584644,76.0,11.269427669584644
56,5,0.0001,1.0,0.01,True,0.001,False,0.3,0.95,0.15,0.95,2,0.5,90759.98672054385,1024,32,64,False,-130.5463568965251,7.054647768504925,1.0,1.7320508075688772,71.0,5.5677643628300215,28.0,4.0
66,20,0.0001,0.1,0.01,True,0.001,False,0.2,0.95,0.15,0.95,4,0.5,179225.2480593595,4096,32,64,False,-191.37510435008107,22.565419204426174,0.0,0.0,33.333333333333336,3.5118845842842465,66.66666666666667,3.511884584284246
87,20,0.001,0.5,0.01,True,0.0003,False,0.2,0.95,0.15,0.9,2,1.0,184184.52302280208,2048,32,256,False,-235.00060259598308,19.160656100946127,0.0,0.0,28.666666666666668,5.131601439446884,71.33333333333333,5.131601439446884
