step,run_0,run_1,run_2,run_3
2048,-0.0033473050832981,-0.002494692725304,-0.0052822583849774,-0.0037651062521035783
4096,-0.0044851143713458,-0.006818501422822,-0.0062917109957197,-0.005669140932150185
6144,-0.0095099371712422,-0.010098620087956,-0.0063794855421292,-0.007329319359268993
8192,-0.0094538183177064,-0.0100212643912527,-0.0115624047612072,-0.013736526743741706
10240,-0.0086054670988232,-0.0097471277389558,-0.012832533850451,-0.008632431123260176
12288,-0.0104518660307803,-0.0113130367535632,-0.0133977415665867,-0.008977505897928496
14336,-0.0119018143959692,-0.0092527787695871,-0.0120691693839035,-0.009665672381379409
16384,-0.0140498492866754,-0.0082380848514731,-0.0118027201184304,-0.008329324815713334
18432,-0.0116269398189615,-0.0096145248557149,-0.0093174217836349,-0.007935571492998861
20480,-0.0146865565897314,-0.012691756998538,-0.0125320360166369,-0.008608992626250256
22528,-0.0115094555178075,-0.0102250635711243,-0.0099645421330933,-0.01107811202382436
24576,-0.010943265480455,-0.0129619814586476,-0.0130002249090466,-0.011347154354734813
26624,-0.0087848881405079,-0.01350612656679,-0.0087571148469578,-0.011397226141707507
28672,-0.0083942201279569,-0.0119703879361622,-0.0089711430569877,-0.01131926063244464
30720,-0.0089728038510656,-0.015279108370305,-0.0109562026744242,-0.01238891702669207
32768,-0.0087577625148696,-0.0143813426926499,-0.01223999907088,-0.014917337024235167
34816,-0.0134637091046897,-0.0158392344004823,-0.0151864809085964,-0.016501964269264136
36864,-0.0129767901918967,-0.0161114591639488,-0.0139967441849876,-0.012654268837650307
38912,-0.0121219380467664,-0.0130410539219155,-0.0116793954919558,-0.011141980790125672
40960,-0.0080708671157481,-0.014245381852379,-0.0093313084522378,-0.01044249565456994
43008,-0.0124925736803561,-0.0128136368017294,-0.0127599657760583,-0.008938517500064335
45056,-0.0130568673521338,-0.0124391362871392,-0.0127391264475591,-0.01246439349197317
47104,-0.0149464505200739,-0.0103912593243876,-0.0140094422145921,-0.00942234050744446
49152,-0.0132822167244739,-0.0091161085380008,-0.0135581775408354,-0.01057761322153965
51200,-0.0141342687958967,-0.0092256995390926,-0.0131807358106016,-0.009789156210899819
53248,-0.0121098117553628,-0.008563554547436,-0.0114859744659042,-0.009477706895268057
55296,-0.0115971643783268,-0.0102480901507078,-0.0087279815765214,-0.012173259591509122
57344,-0.0149294366216054,-0.0110127960208046,-0.0096290144792874,-0.012065318718669005
59392,-0.0117706728051416,-0.0079976859415182,-0.0101350136334076,-0.009934289070952219
61440,-0.0124742589876404,-0.0092892663640668,-0.0096642472519306,-0.011751443229150027
63488,-0.011343039041094,-0.0108594798461126,-0.0083520794782089,-0.009626385505544021
65536,-0.0091884118606685,-0.0113904067762632,-0.005683948508522,-0.007326628942973912
67584,-0.0107750582319567,-0.0106821701527223,-0.0108170737948967,-0.010302497907105135
69632,-0.0086398999381344,-0.0107764705171575,-0.0094664752177777,-0.009253893837740178
71680,-0.0081848833811818,-0.0103289750215481,-0.0066602109392988,-0.011737803198047913
73728,-0.0065078090134193,-0.0087964742764597,-0.009336247012834,-0.007537405256880447
75776,-0.0082161963771795,-0.0118411544855916,-0.0067748317313089,-0.009598201925109606
77824,-0.0106788028148002,-0.0104026039043674,-0.0069776744516275,-0.011432653178053443
79872,-0.0070968258398352,-0.0094776056765113,-0.0074248681004974,-0.00930725711514242
81920,-0.0072131928478484,-0.0075355830485932,-0.0064371262924396,-0.009181001300748903
83968,-0.0093803778814617,-0.0118695638215285,-0.0066514812468085,-0.011862404036219232
86016,-0.0116827734018443,-0.0120923703827429,-0.0085213030310114,-0.008129082679806743
88064,-0.0092850172375619,-0.0081752474536187,-0.0090742037747986,-0.009553137273178436
90112,-0.0103822726639918,-0.008966647615307,-0.0106069006651523,-0.010495600780268432
92160,-0.0103604604839347,-0.0096145164876361,-0.0095844227049383,-0.006719303546560695
94208,-0.0065668287876178,-0.0084781061581452,-0.0064722251554485,-0.006847330112941563
96256,-0.0099082965985871,-0.0068758081179112,-0.0112515752713079,-0.008507709599507507
98304,-0.0082369315539835,-0.00846600335135,-0.0063414025120437,-0.008109299605712295
100352,-0.0098014159826561,-0.0073250957095297,-0.0069046365853864,-0.007710032915201737
102400,-0.0071157461527036,-0.0071022230840753,-0.0086906690848991,-0.007643730066774879
104448,-0.0093323170687654,-0.0073912346204451,-0.0080061132641276,-0.007325324862904381
106496,-0.0073785014741588,-0.0073265688042738,-0.0084215517912525,-0.004944516246177954
108544,-0.0076423959224484,-0.009762582652911,-0.0077502670726971,-0.008431318742805161
110592,-0.0077037643874064,-0.0071425582165829,-0.0074548432443407,-0.007683649366663303
112640,-0.0078890108998166,-0.0059788098413264,-0.0087195761821931,-0.006754647950583603
114688,-0.0082217317773029,-0.0083580174832604,-0.0069950908335158,-0.005771197981084697
116736,-0.0097202654957072,-0.0086147234134841,-0.0100461561094562,-0.0087196528838831
118784,-0.0066894667950691,-0.007008067559218,-0.0089986469363793,-0.008760877254826483
120832,-0.0096560108213452,-0.0073652840976137,-0.0047248385810235,-0.00887447478598915
122880,-0.0077802630155929,-0.0086209345216047,-0.0087863013293826,-0.007211064045259263
124928,-0.0094247988803545,-0.0071740282335667,-0.0071262804107391,-0.008287044282769784
126976,-0.0067184806495788,-0.0076457956136437,-0.0091657302633393,-0.005947328909678617
129024,-0.0099658980019739,-0.0110204343305667,-0.0081833492484292,-0.007546337019448401
131072,-0.0109539923840202,-0.008462764127762,-0.0095893981313565,-0.010787185439403402
133120,-0.0076198085953365,-0.0081902808524318,-0.0065329557430231,-0.0059576471336185936
135168,-0.0059275518149661,-0.0068299855411169,-0.008037418386084,-0.007528363481105771
137216,-0.0138483665912644,-0.0040719992000958,-0.0065324134149705,-0.010735255884355865
139264,-0.0085398113747942,-0.0107399869972141,-0.0058457373161218,-0.006924587163666729
141312,-0.0089391128647548,-0.0120184098370373,-0.0082964106128201,-0.007414262507518287
143360,-0.0094752184755634,-0.0056984008726431,-0.0075915399283985,-0.00722163904865738
145408,-0.0077143774171418,-0.0065720165614038,-0.0073817644632072,-0.005423371338110883
147456,-0.0072649950525374,-0.0052631639395258,-0.0054632985411444,-0.008024559296609368
149504,-0.0089438004360999,-0.0049113029672298,-0.0052343044422741,-0.006419623103283811
151552,-0.0070304983411915,-0.0063886423900839,-0.0051414746485534,-0.005638464295770973
153600,-0.0082118698017438,-0.0051788404060062,-0.0068230723161832,-0.009550711578049232
155648,-0.0074129731889115,-0.0056083326606312,-0.0088385691546136,-0.008028604312858078
157696,-0.0108933220210019,-0.0059121430022059,-0.0033987079383223,-0.0032815306884003805
159744,-0.0077215538709424,-0.0088003563432721,-0.0064299733581719,-0.004178329759452026
161792,-0.011288703737955,-0.0038548312775674,-0.0073148217998095,-0.007649757967737969
163840,-0.0108767718349554,-0.0069921364105539,-0.0064904473067144,-0.004827503251726739
165888,-0.0065236074551648,-0.0066629426699364,-0.0067787505497108,-0.0061825677417800765
167936,-0.006545440822083,-0.0028072306799003,-0.0079800842417171,-0.007825239925296046
