,global_step,episode_reward,actor_loss,critic_loss,entropy_loss,KL_approx
0,2086,38.0,,,,
1,2112,26.0,,,,
2,2142,30.0,,,,
3,2156,14.0,,,,
4,2177,21.0,,,,
5,2191,14.0,,,,
6,2217,26.0,,,,
7,2240,23.0,,,,
8,2263,23.0,,,,
9,2302,39.0,,,,
10,2351,49.0,,,,
11,2395,44.0,,,,
12,2430,35.0,,,,
13,2485,55.0,,,,
14,2503,18.0,,,,
15,2525,22.0,,,,
16,2541,16.0,,,,
17,2559,18.0,,,,
18,2581,22.0,,,,
19,2617,36.0,,,,
20,2639,22.0,,,,
21,2667,28.0,,,,
22,2686,19.0,,,,
23,2695,9.0,,,,
24,2765,70.0,,,,
25,2775,10.0,,,,
26,2815,40.0,,,,
27,2835,20.0,,,,
28,2860,25.0,,,,
29,2896,36.0,,,,
30,2936,40.0,,,,
31,2953,17.0,,,,
32,2977,24.0,,,,
33,2993,16.0,,,,
34,3011,18.0,,,,
35,3032,21.0,,,,
36,3099,67.0,,,,
37,3141,42.0,,,,
38,3157,16.0,,,,
39,3187,30.0,,,,
40,3243,56.0,,,,
41,3253,10.0,,,,
42,3266,13.0,,,,
43,3298,32.0,,,,
44,3324,26.0,,,,
45,3345,21.0,,,,
46,3387,42.0,,,,
47,3399,12.0,,,,
48,3428,29.0,,,,
49,3480,52.0,,,,
50,3537,57.0,,,,
51,3550,13.0,,,,
52,3576,26.0,,,,
53,3615,39.0,,,,
54,3632,17.0,,,,
55,3664,32.0,,,,
56,3685,21.0,,,,
57,3725,40.0,,,,
58,3736,11.0,,,,
59,3748,12.0,,,,
60,3764,16.0,,,,
61,3879,115.0,,,,
62,3923,44.0,,,,
63,4007,84.0,,,,
64,4026,19.0,,,,
65,4038,12.0,,,,
66,4074,36.0,,,,
67,4096,,-0.015642686185310596,36.30503640174866,-42.75994583368301,0.0061351584488875234
0,4101,27.0,,,,
1,4126,25.0,,,,
2,4145,19.0,,,,
3,4157,12.0,,,,
4,4181,24.0,,,,
5,4243,62.0,,,,
6,4263,20.0,,,,
7,4301,38.0,,,,
8,4310,9.0,,,,
9,4332,22.0,,,,
10,4370,38.0,,,,
11,4525,155.0,,,,
12,4558,33.0,,,,
13,4673,115.0,,,,
14,4803,130.0,,,,
15,4833,30.0,,,,
16,4900,67.0,,,,
17,4917,17.0,,,,
18,5039,122.0,,,,
19,5094,55.0,,,,
20,5118,24.0,,,,
21,5236,118.0,,,,
22,5257,21.0,,,,
23,5318,61.0,,,,
24,5353,35.0,,,,
25,5372,19.0,,,,
26,5407,35.0,,,,
27,5426,19.0,,,,
28,5494,68.0,,,,
29,5512,18.0,,,,
30,5530,18.0,,,,
31,5594,64.0,,,,
32,5619,25.0,,,,
33,5688,69.0,,,,
34,5727,39.0,,,,
35,5747,20.0,,,,
36,5817,70.0,,,,
37,5861,44.0,,,,
38,5885,24.0,,,,
39,5933,48.0,,,,
40,6009,76.0,,,,
41,6038,29.0,,,,
42,6143,105.0,,,,
43,6144,,-0.02144200312322937,59.470319831371306,-40.68813560009003,0.009006646245688898
0,6212,69.0,,,,
1,6266,54.0,,,,
2,6327,61.0,,,,
3,6340,13.0,,,,
4,6371,31.0,,,,
5,6388,17.0,,,,
6,6426,38.0,,,,
7,6551,125.0,,,,
8,6726,175.0,,,,
9,6827,101.0,,,,
10,6900,73.0,,,,
11,6957,57.0,,,,
12,6999,42.0,,,,
13,7066,67.0,,,,
14,7083,17.0,,,,
15,7199,116.0,,,,
16,7261,62.0,,,,
17,7299,38.0,,,,
18,7392,93.0,,,,
19,7429,37.0,,,,
20,7472,43.0,,,,
21,7533,61.0,,,,
22,7573,40.0,,,,
23,7594,21.0,,,,
24,7711,117.0,,,,
25,7740,29.0,,,,
26,7803,63.0,,,,
27,7847,44.0,,,,
28,7870,23.0,,,,
29,7917,47.0,,,,
30,7965,48.0,,,,
31,8023,58.0,,,,
32,8065,42.0,,,,
33,8109,44.0,,,,
34,8192,,-0.019101218864670956,67.15085476636887,-38.256033623218535,0.00866016399813816
0,8267,158.0,,,,
1,8551,284.0,,,,
2,8597,46.0,,,,
3,8678,81.0,,,,
4,8802,124.0,,,,
5,8913,111.0,,,,
6,9179,266.0,,,,
7,9450,271.0,,,,
8,9634,184.0,,,,
9,9845,211.0,,,,
10,10023,178.0,,,,
11,10132,109.0,,,,
12,10162,30.0,,,,
13,10240,,-0.007725678457063623,58.66210385560989,-37.87268753051758,0.004237434858441702
0,10336,174.0,,,,
1,10571,235.0,,,,
2,10698,127.0,,,,
3,10827,129.0,,,,
4,10985,158.0,,,,
5,11068,83.0,,,,
6,11157,89.0,,,,
7,11305,148.0,,,,
8,11492,187.0,,,,
9,11609,117.0,,,,
10,11775,166.0,,,,
11,12041,266.0,,,,
12,12137,96.0,,,,
13,12288,,-0.005686346918810159,54.04740355312824,-37.262196612358096,0.003037231304006127
0,12384,247.0,,,,
1,12552,168.0,,,,
2,12725,173.0,,,,
3,13025,300.0,,,,
4,13241,216.0,,,,
5,13416,175.0,,,,
6,13548,132.0,,,,
7,13899,351.0,,,,
8,14074,175.0,,,,
9,14295,221.0,,,,
10,14336,,-0.00345032328623347,37.973283445835115,-38.411006927490234,0.0039283433692617106
0,14603,308.0,,,,
1,14949,346.0,,,,
2,15123,174.0,,,,
3,15337,214.0,,,,
4,15543,206.0,,,,
5,15611,68.0,,,,
6,15751,140.0,,,,
7,15945,194.0,,,,
8,16246,301.0,,,,
9,16384,,-0.0057662970473757015,48.523034965991975,-37.22180975675583,0.0033393981406334206
0,16654,408.0,,,,
1,17154,500.0,,,,
2,17361,207.0,,,,
3,17827,466.0,,,,
4,18135,308.0,,,,
5,18324,189.0,,,,
6,18432,,-0.008535911922808736,26.91769186705351,-38.008501982688905,0.004110043727087032
0,18729,405.0,,,,
1,18890,161.0,,,,
2,19202,312.0,,,,
3,19277,75.0,,,,
4,19577,300.0,,,,
5,19907,330.0,,,,
6,20407,500.0,,,,
7,20480,,-0.005043782462598756,41.96345259398222,-35.75316325426102,0.004636140061847982
0,20719,312.0,,,,
1,21048,329.0,,,,
2,21548,500.0,,,,
3,21844,296.0,,,,
4,22344,500.0,,,,
5,22528,,-0.010506161977536977,6.301322467904538,-36.603515195846555,0.006995861603718368
0,22733,389.0,,,,
1,23233,500.0,,,,
2,23733,500.0,,,,
3,24061,328.0,,,,
4,24561,500.0,,,,
5,24576,,-0.00205978152807802,33.26712082698941,-35.601144313812256,0.00192016304417848
0,25061,500.0,,,,
1,25561,500.0,,,,
2,26061,500.0,,,,
3,26435,374.0,,,,
4,26624,,-0.0017558107268996538,14.676598610915244,-35.14929006695748,0.0013051475002612278
0,26935,500.0,,,,
1,27435,500.0,,,,
2,27935,500.0,,,,
3,28435,500.0,,,,
4,28672,,-0.0025800178496865555,1.7188515783986076,-34.66064187884331,0.0057522035394868
0,28935,500.0,,,,
1,29435,500.0,,,,
2,29935,500.0,,,,
3,30435,500.0,,,,
4,30720,,-0.0007867975014960394,1.0840591745625716,-33.80065210461616,0.003115618509673368
0,30935,500.0,,,,
1,31435,500.0,,,,
2,31935,500.0,,,,
3,32435,500.0,,,,
4,32768,,-0.0012100790103431792,0.7515288905648049,-33.93017966747284,0.0029181161583437644
0,32935,500.0,,,,
1,33435,500.0,,,,
2,33935,500.0,,,,
3,34435,500.0,,,,
4,34816,,-0.0011193330108653754,0.45187975292355986,-33.84123996496201,0.0028162916356450295
0,34935,500.0,,,,
1,35435,500.0,,,,
2,35935,500.0,,,,
3,36435,500.0,,,,
4,36864,,-0.0010558271693298592,0.29505496197525644,-32.95628984570503,0.004615532268007883
0,36935,500.0,,,,
1,37334,399.0,,,,
2,37834,500.0,,,,
3,38334,500.0,,,,
4,38834,500.0,,,,
5,38912,,-0.0020607497892342506,16.2560522032436,-32.23186415433884,0.00023832496681279735
0,39334,500.0,,,,
1,39834,500.0,,,,
2,40334,500.0,,,,
3,40834,500.0,,,,
4,40960,,-0.003428922887542285,0.6333151199738495,-32.34898428916931,0.0032818435441186013
0,41334,500.0,,,,
1,41834,500.0,,,,
2,42334,500.0,,,,
3,42834,500.0,,,,
4,43008,,-0.012852814930374734,0.08640819059801289,-31.988946545124055,0.00888736564647843
0,43334,500.0,,,,
1,43834,500.0,,,,
2,44334,500.0,,,,
3,44834,500.0,,,,
4,45056,,-0.005978860153118148,0.05612196253350703,-30.34499773979187,0.005206529788665648
0,45334,500.0,,,,
1,45834,500.0,,,,
2,46334,500.0,,,,
3,46834,500.0,,,,
4,47104,,-0.007574245889554731,0.034831071738881295,-31.318626582622528,0.00784454293084309
0,47334,500.0,,,,
1,47834,500.0,,,,
2,48334,500.0,,,,
3,48834,500.0,,,,
4,49152,,-0.0014725989080034197,0.02037270998262102,-30.523896527290344,0.005202667793855653
0,49334,500.0,,,,
1,49834,500.0,,,,
2,50334,500.0,,,,
3,50834,500.0,,,,
4,51200,,-0.001907883008243516,0.012564930775624816,-29.676450407505037,0.004896588314022665
0,51334,500.0,,,,
1,51834,500.0,,,,
2,52334,500.0,,,,
3,52834,500.0,,,,
4,53248,,-0.0007811914081685245,0.00811218767403261,-30.11995519399643,0.0013491284974861627
0,53334,500.0,,,,
1,53834,500.0,,,,
2,54334,500.0,,,,
3,54834,500.0,,,,
4,55296,,-0.0012612436257768422,0.005156702164026683,-29.653682845830918,0.001375246238399086
0,55334,500.0,,,,
1,55834,500.0,,,,
2,56334,500.0,,,,
3,56834,500.0,,,,
4,57334,500.0,,,,
5,57344,,0.0004557555541396141,0.0036408675406164547,-30.448088037967683,0.001457683426588119
0,57834,500.0,,,,
1,58334,500.0,,,,
2,58834,500.0,,,,
3,59334,500.0,,,,
4,59392,,-1.7160858260467648e-05,0.0023064946315116686,-31.217849332094193,0.0015537063934971229
